,L1NN,L2NN,RIDGE
0.0,0.78,0.73,0.89
0.25,0.6614,0.4092,0.3782
0.5,0.6632,0.373,0.4026
0.75,0.5868,0.355,0.358
1.0,0.5518,0.3528,0.3756
1.25,0.552,0.3978,0.336
1.5,0.5732,0.4012,0.3578
1.75,0.5176,0.3704,0.3424
2.0,0.5084,0.4,0.3126
2.25,0.4786,0.4,0.3028
2.5,0.4622,0.4026,0.2928
2.75,0.4562,0.4326,0.3008
3.0,0.4854,0.4338,0.2924
3.25,0.3986,0.4124,0.3082
3.5,0.4058,0.39,0.332
3.75,0.3886,0.3552,0.3708
4.0,0.3812,0.3538,0.3756
4.25,0.379,0.3546,0.3552
4.5,0.355,0.3624,0.3518
4.75,0.3732,0.3968,0.3294
5.0,0.432,0.4278,0.3014
5.25,0.4662,0.4492,0.2794
5.5,0.4662,0.4482,0.2702
5.75,0.4582,0.4326,0.2892
6.0,0.4118,0.3944,0.329
6.25,0.4118,0.416,0.3216
6.5,0.3884,0.4044,0.3154
6.75,0.367,0.3646,0.3502
7.0,0.3398,0.3696,0.3522
7.25,0.3772,0.3886,0.342
7.5,0.3986,0.371,0.345
7.75,0.3742,0.3494,0.3596
8.0,0.3828,0.3404,0.369
8.25,0.3554,0.3348,0.3526
8.5,0.3856,0.3646,0.3644
8.75,0.3676,0.3538,0.3558
9.0,0.349,0.3534,0.353
9.25,0.3534,0.3568,0.3472
9.5,0.3332,0.3508,0.3694
9.75,0.3442,0.3426,0.3638
10.0,0.354,0.341,0.3566
