,L1NN,L2NN,RIDGE
0.0,173.90112133,191.226776368,58.3195201135
0.25,257.995478824,2163.11105888,3869.00586661
0.5,269.396467174,5200.11088708,10403.8603823
0.75,304.52092051,7054.43501316,18318.4987515
1.0,348.755562835,7502.04114404,27237.4509852
1.25,401.250944028,8389.40569077,38943.0230026
1.5,460.152518938,7951.63424119,49913.4030684
1.75,514.647031584,8068.60643532,65214.4855564
2.0,611.341546475,8924.29644607,83696.9617747
2.25,665.583671643,9125.99229694,97321.9065489
2.5,832.372437947,9143.27489668,107512.5793
2.75,973.962447635,9417.92981682,120753.210529
3.0,1073.55878334,9712.36606823,137875.212186
3.25,1186.83990407,9878.05435828,160299.097008
3.5,1264.78781823,9837.04262138,191724.797926
3.75,1329.8362085,9780.66505212,226107.206528
4.0,1451.84537033,9767.48571833,253481.022881
4.25,1491.43152586,9518.66347777,264142.45936
4.5,1766.06800089,9526.46698598,293058.499191
4.75,1872.23648827,9430.7730238,327550.860295
5.0,2039.54834345,9176.12135514,324731.361948
5.25,2177.70222077,8838.07114812,340988.522207
5.5,2282.35922102,8988.43381574,396019.505471
5.75,2397.17855291,9036.96775713,400457.3298
6.0,2660.4427315,9252.69192662,436435.377835
6.25,2675.8978479,9322.49649992,442263.472557
6.5,2654.71698127,9358.42090951,521017.07342
6.75,2607.93151059,9623.68562848,495591.234711
7.0,2636.90887723,9773.73960995,552180.302133
7.25,2651.41526678,9311.40396137,633667.511281
7.5,2706.70948898,9504.37158732,644342.665437
7.75,2668.28648583,10093.0072257,756379.6881
8.0,2869.34388496,10096.5689315,884619.869764
8.25,2871.58362357,9953.27803953,1088425.79791
8.5,2793.67554565,9896.47862825,1091251.18418
8.75,3125.88531863,9875.42395963,1501797.37003
9.0,3269.21953433,10455.7253271,1528800.8323
9.25,3381.70056935,10389.5023425,1801831.39688
9.5,3416.53681658,10415.1340445,1849160.2896
9.75,3226.93934461,10400.6527328,2406438.65334
10.0,3426.3335258,10505.4332601,1939852.41894
