,Percent Error,kNN Score,kNN Std,DTree Score,DTree Std,SVR Score,SVR Std
0.0,0.0,0.9831616609518028,0.002524693780989044,0.9832608919692826,0.005040689499683194,0.9971766566712891,0.001086403212921852
0.1,0.1,0.9838677635285888,0.001965519771660363,0.9808423497787174,0.002535320783559246,0.9971766566712891,0.001086403212921852
0.2,0.2,0.9838676110738301,0.0020178152832516887,0.9800356947732904,0.00377118882214202,0.9971766566712891,0.001086403212921852
0.3,0.3,0.9833633245879158,0.002188370516866295,0.9790274775975247,0.0015885381869620901,0.9971766566712891,0.001086403212921852
0.4,0.4,0.9840693255964886,0.0022464855843781647,0.9732796289485245,0.004236352341628516,0.9971766566712891,0.001086403212921852
0.5,0.5,0.9834639786359893,0.002311465232523148,0.9744896619078451,0.005366249883803193,0.9964709097369078,0.0011502178144412027
0.6,0.6,0.9831619658613203,0.0022679506014772234,0.9691468680614262,0.0033513614470646732,0.9949583046094533,0.0022098002436362232
0.7,0.7,0.9827584350941316,0.001844144492130938,0.9695498908338902,0.005316186667447229,0.9918327957952174,0.001510596004146315
0.8,0.8,0.9817507260667488,0.0016025829803846675,0.9662216514051079,0.003850623021629943,0.9903205971967133,0.001122816666449368
0.9,0.9,0.9802381208880752,0.0019742027685999207,0.9660208516110019,0.006928256743698361,0.9878000798030108,0.0018960832141174302
1.0,1.0,0.980238070052749,0.001473348787829106,0.9626941363712709,0.006765406639282001,0.9856826357610011,0.001734252882007556
1.1,1.1,0.9786251156842998,0.0016701216610139301,0.9595689833530979,0.001774716119579681,0.983262670847159,0.003365212176085469
1.2,1.2,0.9780202769234027,0.0022630531379957287,0.9596694846903153,0.0038378607070932063,0.9814480527913773,0.0037901761399768137
1.3,1.3,0.9760038424182129,0.0016346086117963248,0.9553341968885112,0.00493251100974691,0.9807424074764285,0.004721849019893479
1.4,1.4,0.97549950535307,0.0026180875696234377,0.9477705099822449,0.0053908629333364304,0.9792295482235632,0.003723970091073815
1.5,1.5,0.9750960761540945,0.0014066138754812204,0.9486793438906499,0.00850559570314538,0.9749946600883245,0.00391495427222984
1.6,1.6,0.9738863986835202,0.0027817590282061735,0.9440407723798053,0.004658819218403614,0.9753988514586547,0.0038676166948436604
1.7,1.7,0.9714666876902112,0.003176098362058658,0.9473681481714585,0.005239417535395801,0.9719699068903754,0.002226173864655448
1.8,1.8,0.9690468748725916,0.0025141578844374932,0.9398057316873691,0.007501925451744788,0.9699528629246869,0.002904668818657649
1.9,1.9,0.9659207056088723,0.0012140557057672534,0.9363795314071861,0.0053999591870537164,0.9671299261249262,0.004683444676506069
2.0,2.0,0.9630977178201272,0.0014668099552152486,0.9336553178350588,0.004212192882842151,0.9661222679328694,0.0031619680867838737
2.25,2.25,0.9605764383062892,0.001516254910179374,0.9281111142218406,0.0073401037943759545,0.9654162159865315,0.0026438107568301093
2.5,2.5,0.9565443828660047,0.003742819388835769,0.9251872694022536,0.006806618981600059,0.9650133458224845,0.0030327384411033766
2.75,2.75,0.9559404076910176,0.004697258491891553,0.9192388238394764,0.002679825080596331,0.9599723619728447,0.004708918221479553
3.0,3.0,0.9551329904630161,0.0026327255838802096,0.919540785522722,0.004894057819306013,0.9576525933842636,0.0032384582927496817
3.25,3.25,0.9502926031173974,0.0020014554576856546,0.9079464667189597,0.008169369478614956,0.955334095320298,0.00136325761211439
3.5,3.5,0.9412182929955405,0.0007963712544350901,0.9049215610662517,0.009489173664249118,0.9540235603066876,0.0023836282963696728
3.75,3.75,0.9406123871537713,0.004962482192633988,0.9053261082838645,0.008020650582338196,0.949990082143126,0.003639233321543414
4.0,4.0,0.9376896603016023,0.00431163892426523,0.8958481153498161,0.010353149748857988,0.9434366962000192,0.0036466979245112162
4.25,4.25,0.9340604748717064,0.004228038277753303,0.8908042346036622,0.006722691038167621,0.9419234303669842,0.0033253066909186136
4.5,4.5,0.9301285650237959,0.004491735634925525,0.894333020059676,0.006874214328363183,0.9380939024048198,0.004923903892065366
4.75,4.75,0.9258924571480482,0.003445577316073092,0.8875803582041977,0.007429761588948614,0.9359760009985338,0.0031838272403545784
5.0,5.0,0.9239776423060302,0.003808778048033255,0.88425257629335,0.005463617661232865,0.9368841738940414,0.005113348249938382
5.5,5.5,0.9148014592151021,0.004192551924056799,0.8816311001981537,0.008872952264895305,0.9337586140396015,0.004919589073709528
6.0,6.0,0.9051225645089789,0.005015183391230618,0.8662047623988103,0.005926277278844419,0.9310356198494466,0.004203762765380367
6.5,6.5,0.9041151096582263,0.008429922797940753,0.8630797114610452,0.009207701603290312,0.9268010366749451,0.003599727564566296
7.0,7.0,0.8928203135176668,0.007580265180517263,0.8562220254096932,0.0064136516173389675,0.9208515749690603,0.0039066684897373204
7.5,7.5,0.8889892102238081,0.005065224929077661,0.8518866356299203,0.006657264836538629,0.9148030850748057,0.007073705210732298
8.0,8.0,0.8882848862688013,0.010061042846821466,0.8410986158818636,0.007189186108906679,0.910971778798179,0.005479547077030664
8.5,8.5,0.874874881713751,0.006573563367062175,0.8377728666669864,0.010088740867505039,0.903510220010784,0.005557689043568419
9.0,9.0,0.8661033470501127,0.009639487086666704,0.8265804009622132,0.008063256334675214,0.8978640926956075,0.010103952052249652
10.0,10.0,0.8551119857416463,0.0032267997145144674,0.825570659033982,0.00549105220190058,0.8890909822905192,0.0065106046349442375
13.0,13.0,0.8379740727339451,0.00915208399225152,0.8062113455863422,0.00513140043032442,0.8770922683653666,0.0076529165562769005
17.0,17.0,0.8082255953505586,0.00896638152948507,0.8021806109425853,0.007716057882027926,0.864589979239109,0.004367209541449161
