,fit_time,score_time,test_accuracy,Algorithm
0,0.060025930404663086,0.10043835639953613,0.9889150151158885,knn
1,0.06296181678771973,0.11145186424255371,0.9852200201545179,knn
2,0.062401533126831055,0.10971450805664062,0.9838655462184874,knn
3,0.06154584884643555,0.10856032371520996,0.9892400806993947,knn
4,0.05755424499511719,0.10300636291503906,0.9878950907868191,knn
0,0.3593916893005371,0.007468700408935547,0.9885791064830366,dtree
1,0.3686215877532959,0.005525112152099609,0.9899227410144441,dtree
2,0.35642218589782715,0.007603168487548828,0.9845378151260504,dtree
3,0.35297060012817383,0.007647037506103516,0.9862138533960996,dtree
4,0.2457582950592041,0.004556894302368164,0.9865501008742434,dtree
0,1.431898593902588,0.06957602500915527,0.9963050050386295,svr
1,1.4605319499969482,0.07307863235473633,0.9983204568357407,svr
2,1.544252634048462,0.07243156433105469,0.9983193277310924,svr
3,1.5032975673675537,0.06976437568664551,0.9969737726967047,svr
4,0.9152321815490723,0.04318094253540039,0.9966375252185609,svr
