TrainSizeFrac,AbsTrainSize,TrainScore,TrainStd,CV-Score,CV-Std,Algorithm
0.1,476,1.0,0.0,0.9960508233069918,0.0005418330349635103,knn
0.2,952,1.0,0.0,0.9975900946612113,0.00027494442670389954,knn
0.3,1428,1.0,0.0,0.9981277235279533,9.743685740943519e-05,knn
0.4,1904,1.0,0.0,0.9984065829469984,8.873905825406106e-05,knn
0.5,2380,1.0,0.0,0.9986042185472523,9.363145275141688e-05,knn
0.55,2618,1.0,0.0,0.998684907283206,0.00011227197002670193,knn
0.6,2856,1.0,0.0,0.9987586298521146,0.00013730116569988092,knn
0.65,3094,1.0,0.0,0.9988289582143425,0.0001339964219405599,knn
0.7,3332,1.0,0.0,0.9988990998244389,0.00013603221604161633,knn
0.75,3570,1.0,0.0,0.9989607217560585,0.00013903808378774122,knn
0.8,3808,1.0,0.0,0.999000995195207,0.00012553941172107255,knn
0.85,4046,1.0,0.0,0.999039271738108,0.00012340820317003354,knn
0.9,4284,1.0,0.0,0.9990943091762803,0.000103474715012003,knn
0.95,4522,1.0,0.0,0.9991271246838955,0.00010391261126217094,knn
1.0,4760,1.0,0.0,0.9991620178031415,7.922847888094946e-05,knn
0.1,476,1.0,0.0,0.9995058726824777,0.00015001954096248877,dtree
0.2,952,1.0,0.0,0.9998100895796587,4.43296253464264e-05,dtree
0.3,1428,1.0,0.0,0.9998871177306461,2.304970417656175e-05,dtree
0.4,1904,1.0,0.0,0.9999149189982491,8.372913178730465e-06,dtree
0.5,2380,1.0,0.0,0.9999411238230959,5.20597579881807e-06,dtree
0.55,2618,1.0,0.0,0.9999510408639084,5.053884679080579e-06,dtree
0.6,2856,1.0,0.0,0.9999461147241062,8.39993988672694e-06,dtree
0.65,3094,1.0,0.0,0.9999539886343551,1.0756600034625057e-05,dtree
0.7,3332,1.0,0.0,0.9999609974810412,6.473070750466628e-06,dtree
0.75,3570,0.9999999999918645,1.627102896863258e-11,0.9999632272255574,5.5649360156091765e-06,dtree
0.8,3808,1.0,0.0,0.9999673455689402,6.998669875474846e-06,dtree
0.85,4046,0.999999999784289,4.3142205363722097e-10,0.9999735405754379,3.934426090610842e-06,dtree
0.9,4284,0.9999999997963203,4.073594350728633e-10,0.999972838266699,4.285293820800737e-06,dtree
0.95,4522,0.9999999999485374,1.0292535712610397e-10,0.9999760531387185,4.224803231813215e-06,dtree
1.0,4760,1.0,0.0,0.9999778436196494,7.770479573709179e-07,dtree
0.1,476,0.9821695875277803,0.002101665454911149,0.9796317413489144,0.002353365935068637,svr
0.2,952,0.9927453428372102,0.0015176300790716393,0.9919174769925994,0.000966066369600764,svr
0.3,1428,0.9961690695803368,0.00048633963929979894,0.9953535612898385,0.0009252556149506965,svr
0.4,1904,0.9974347585571774,0.00021126595265317683,0.9968642061697814,0.00039778526001178023,svr
0.5,2380,0.9982114486478648,8.06457890777515e-05,0.997818754300892,0.0003597598276540873,svr
0.55,2618,0.9984397752146548,0.00013805301649502853,0.9981670658426001,0.00033497445665081545,svr
0.6,2856,0.998640294443697,0.00010445220450055682,0.9984520283037854,0.0003269432034482041,svr
0.65,3094,0.9988277908855784,5.0914144119945965e-05,0.9986206243204127,0.000303906830546967,svr
0.7,3332,0.9989850810213936,2.4290748474466345e-05,0.9987945427171331,0.00028769444621511386,svr
0.75,3570,0.9990974071607447,3.318201332456309e-05,0.9989235631892542,0.0002500984024125948,svr
0.8,3808,0.9991827337152092,4.0227772072012164e-05,0.9990525103651002,0.00021064294574717375,svr
0.85,4046,0.9992777007561561,3.090193761857786e-05,0.9991684910220247,0.00022295152665590418,svr
0.9,4284,0.9993195998310911,2.897642589265255e-05,0.999240762621732,0.00020365308596957465,svr
0.95,4522,0.9993736452274591,3.277413581323778e-05,0.9993064755480738,0.00018289662072422345,svr
1.0,4760,0.9994248216605763,4.085812951114515e-05,0.9993688558225159,0.000167130827754698,svr
