,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,Algorithm
0,0.006702423095703125,0.1243441104888916,0.9991503332624685,0.9991625463073327,-347.11279818540436,knn
1,0.007292985916137695,0.12357902526855469,0.9991672185459292,0.999177093210735,-347.030771219143,knn
2,0.008781671524047852,0.12061619758605957,0.9992530487927667,0.9992598868585952,-337.07581049952904,knn
3,0.01233053207397461,0.12406659126281738,0.9992826566778238,0.9992932095980712,-343.38497895488064,knn
4,0.008787155151367188,0.07827973365783691,0.9992387030955552,0.9992480435780796,-350.16677604994595,knn
0,0.13263940811157227,0.00475001335144043,0.9999800749714798,0.9999801671934173,-28.025331654072836,dtree
1,0.12945222854614258,0.0042150020599365234,0.9999704455727347,0.9999704850225614,-36.93577310924446,dtree
2,0.12998676300048828,0.004333972930908203,0.9999718134978327,0.9999718365034761,-33.53397338935639,dtree
3,0.13092970848083496,0.0028717517852783203,0.9999720216808569,0.9999720222906942,-35.1853109243706,dtree
4,0.0858461856842041,0.0029878616333007812,0.999983521153204,0.9999835238361697,-27.414588235294897,dtree
0,5.6079394817352295,1.6551563739776611,0.9993600617892099,0.9993624848170206,-173.57693717652847,svr
1,5.725255012512207,1.6084625720977783,0.9987422139485255,0.9987422846641812,-186.3624641051456,svr
2,5.553037643432617,1.6255102157592773,0.9994512412830021,0.9994517539623277,-141.6575477714147,svr
3,5.660387277603149,1.6044762134552002,0.9994873138970225,0.9994898913683185,-135.1863583582316,svr
4,4.011643409729004,1.0125162601470947,0.9994772462560323,0.9994772507176296,-142.93441184007682,svr
