,Percent Error,kNN Score,kNN Std,DTree Score,DTree Std,SVR Score,SVR Std
0.0,0.0,0.9734496115826683,0.0058375377144155634,0.9655522864057462,0.006219130404512553,0.9963028032371639,0.0024703041827599127
0.1,0.1,0.9716011543156305,0.006185436845959564,0.963197934085473,0.006259224987385447,0.9963028032371639,0.0024703041827599127
0.2,0.2,0.9721052148819226,0.005685978671186277,0.9637025591092861,0.004830814564164535,0.9963028032371639,0.0024703041827599127
0.3,0.3,0.9722732821088134,0.005498966734739793,0.9608456984809038,0.0090487432177498,0.9963028032371639,0.0024703041827599127
0.4,0.4,0.9722732821088134,0.005395254529638511,0.9608448517946222,0.008129878638345323,0.9961347360102731,0.002470323384128357
0.5,0.5,0.9707606770667965,0.0061865904513031,0.960509422912742,0.0064942500759613,0.9961350182390337,0.0018102970018374267
0.6,0.6,0.9702566165005045,0.005790193808869406,0.9579898256531832,0.0019970326712200072,0.9942868432007564,0.0008219772019128162
0.7,0.7,0.9716011543156305,0.0067530543527791085,0.9516028476881937,0.006489723552668095,0.9934462248375422,0.000824913630328396
0.8,0.8,0.9707605359524163,0.006960523236158237,0.9480752704104312,0.008088743000339528,0.9907575725504308,0.0011902122063304592
0.9,0.9,0.9707605359524163,0.00898053447526996,0.9447140669869963,0.007512074831117634,0.9894130347353048,0.002843627294739598
1.0,1.0,0.9682399508921957,0.007838733740080943,0.9467311559384459,0.00480602627044125,0.9873967924701367,0.003644458587879478
1.1,1.1,0.9702564753861243,0.008856916371744994,0.9450500603263976,0.004900044064621566,0.9860525368837711,0.002742134862350959
1.2,1.2,0.9684075947759456,0.010758819158860582,0.9374878818025951,0.007252332428514463,0.9813470778739708,0.0032530264869826755
1.3,1.3,0.9663919169682987,0.007884202164672997,0.944041656965053,0.005499173071092791,0.9784910639318699,0.0017296607009509534
1.4,1.4,0.9660553591713764,0.007950113429535492,0.9326149200234252,0.008453645821144778,0.9764739749804203,0.003872145151547061
1.5,1.5,0.9668958364202105,0.008159540734901107,0.9317744427745911,0.00684980954821575,0.9747941493977944,0.0032762443337715926
1.6,1.6,0.960174135145242,0.01010864474996316,0.9247181593040239,0.004177816560386411,0.9707609592955571,0.003885595835204193
1.7,1.7,0.9596707801508513,0.0075529257528036825,0.9238757064538662,0.013505390179457696,0.9694164214804311,0.005033452492149845
1.8,1.8,0.9569817045205993,0.007218897068953895,0.9161482829907781,0.003703235361780087,0.966223849741408,0.004998992916336245
1.9,1.9,0.955973442273635,0.0064372481818105514,0.9153071001700427,0.007442212496990148,0.9665594197376685,0.006941113417204982
2.0,2.0,0.9549661678273325,0.005481843741347941,0.9174909863189609,0.006875245976700335,0.9628633518898744,0.005634839086834124
2.25,2.25,0.9544615428035195,0.003734116016176295,0.9169856557232464,0.011171238755135418,0.9623583035229206,0.005513459857209957
2.5,2.5,0.9531175694459144,0.004964173869392205,0.91026494224894,0.009321438652757839,0.9593349279258303,0.005193505704587491
2.75,2.75,0.9512681243782148,0.007723455901241509,0.9109376344996436,0.007208293345909116,0.9593337990107882,0.004177932335356055
3.0,3.0,0.9457228936914817,0.008195503807161678,0.8996796703568076,0.005606986248044556,0.9551332472535614,0.003473080035804846
3.25,3.25,0.9421939052699166,0.008887866117693039,0.8981666419716502,0.006585145285193643,0.9517730316307883,0.002348237825489088
3.5,3.5,0.9393371857559145,0.008465214267513566,0.8899336056840872,0.008710912032114297,0.9499240099062295,0.0032208166502106584
3.75,3.75,0.932615484480946,0.011881613216597017,0.8833789838353476,0.007569609996993096,0.9415217774767338,0.005257368543628866
4.0,4.0,0.9282458776961666,0.01111350810031546,0.8793456526187301,0.008257125195143235,0.9405130918866288,0.006351378441111335
4.25,4.25,0.9245485398189504,0.012017479364362982,0.8820358571640243,0.006893158629824001,0.9356401301074587,0.006265759253593334
4.5,4.5,0.9179946235421121,0.013252085572560749,0.8722924736645288,0.011883013661279267,0.9332887411891709,0.0063886116551764485
