,Percent Error,kNN Score,kNN Std,DTree Score,DTree Std,SVR Score,SVR Std
0.0,0.0,0.999439248572652,4.3689505427348684e-05,0.9999904877801988,2.328780570419075e-06,0.9997468917937512,5.828755881011907e-05
0.1,0.1,0.9994388060533461,4.3067219921830346e-05,0.9999848209560499,4.234929643080366e-06,0.999746588279757,5.8042646701031726e-05
0.2,0.2,0.9994383164438314,4.389459177595019e-05,0.9999829561926017,3.5258828218355203e-06,0.9997464947855319,5.758761328479711e-05
0.3,0.3,0.9994359888710532,4.289721958421757e-05,0.9999787887693333,2.8354145173031997e-06,0.9997479108730494,5.569249044010201e-05
0.4,0.4,0.9994360763447437,4.082831755462339e-05,0.9999706093969216,1.113349025169442e-06,0.9997434242550873,5.887571513661881e-05
0.5,0.5,0.9994331663984027,4.07426841650349e-05,0.9999638939765898,2.4141133025273086e-06,0.9997369882737386,5.948147719974994e-05
0.6,0.6,0.9994268008332107,3.894435389402493e-05,0.9999484802664564,4.659254911080315e-06,0.9997318653515288,5.79019513660594e-05
0.7,0.7,0.9994258005240523,4.8570926399278745e-05,0.9999337083370525,6.398919695341672e-06,0.9997289333740442,5.866937520148239e-05
0.8,0.8,0.9994174319513369,4.239434693630518e-05,0.99991477226197,8.974940732363091e-06,0.9997232518593835,5.7598277145694706e-05
0.9,0.9,0.9994087415427945,4.6360273497279996e-05,0.9998910983767997,4.9057788622256465e-06,0.9997227728658042,5.3675886560969904e-05
1.0,1.0,0.9993954470998405,4.9441860877484794e-05,0.9998592089919507,1.1933895633562207e-05,0.9997127225254137,5.338438944031318e-05
1.1,1.1,0.999391074618367,4.750755642553357e-05,0.999838695957618,1.933735390769998e-05,0.9996973929632265,5.246109274140601e-05
1.2,1.2,0.9993831473269742,4.386958742953234e-05,0.9997918447836962,1.9534826808782755e-05,0.999692821580583,5.2063082334739855e-05
1.3,1.3,0.9993771222075336,4.641802011816533e-05,0.9997437056484768,2.3191658811979802e-05,0.9996774308826322,5.083127782234109e-05
1.4,1.4,0.9993574880117639,4.276741203029093e-05,0.9996819063074527,3.518268834145385e-05,0.9996595320544556,5.416721717234718e-05
1.5,1.5,0.9993510320864336,5.110110316407495e-05,0.9996565169198757,2.6542846837693994e-05,0.9996456784692771,5.950935946832319e-05
1.6,1.6,0.9993479460096406,5.381114022501218e-05,0.9995831225721783,3.0529146448480396e-05,0.9996324964962342,5.963852891051584e-05
1.7,1.7,0.999332823706933,5.9176077836251994e-05,0.9995217690750658,2.438496388783087e-05,0.9996119211192911,6.0715992475001593e-05
1.8,1.8,0.9993195003153676,5.9285079666040846e-05,0.9994724878818804,4.089673509421616e-05,0.9995951641694052,6.231512513888735e-05
1.9,1.9,0.9993218645897617,5.835973006516997e-05,0.9993982018061051,2.6626099583476457e-05,0.9995811257701446,6.31768359754268e-05
2.0,2.0,0.9993085485951113,4.986038779467125e-05,0.9993289529831042,1.7112701156932924e-05,0.9995661522833,6.0893193266758975e-05
2.25,2.25,0.9992808664963062,6.433280791706064e-05,0.9992587333387435,4.313092820723392e-05,0.9995557344710617,6.360843076950492e-05
2.5,2.5,0.9992502636330076,5.480835238728452e-05,0.9990925593342018,4.177432633711182e-05,0.9995200328112983,7.024173673413844e-05
2.75,2.75,0.9992185491408744,5.2131662932037213e-05,0.998959213533883,8.379268290381677e-05,0.9994857918028096,7.070537091723609e-05
