,L1NN,L2NN,RIDGE
0.0,0.78,0.73,0.89
0.25,0.76,0.54,0.58
0.5,0.73,0.44,0.56
0.75,0.71,0.4,0.48
1.0,0.7,0.37,0.5
1.25,0.73,0.36,0.4
1.5,0.66,0.36,0.44
1.75,0.63,0.33,0.4
2.0,0.66,0.37,0.41
2.25,0.68,0.35,0.31
2.5,0.61,0.35,0.39
2.75,0.65,0.39,0.37
3.0,0.52,0.33,0.36
3.25,0.53,0.3,0.36
3.5,0.6,0.42,0.43
3.75,0.56,0.32,0.43
4.0,0.63,0.39,0.4
4.25,0.65,0.42,0.4
4.5,0.55,0.33,0.41
4.75,0.59,0.36,0.4
5.0,0.56,0.35,0.39
5.25,0.51,0.32,0.4
5.5,0.54,0.31,0.36
5.75,0.55,0.36,0.37
6.0,0.57,0.29,0.39
6.25,0.53,0.3,0.41
6.5,0.53,0.33,0.38
6.75,0.55,0.32,0.41
7.0,0.49,0.25,0.43
7.25,0.51,0.33,0.43
7.5,0.49,0.31,0.42
7.75,0.43,0.27,0.43
8.0,0.46,0.29,0.44
8.25,0.4,0.21,0.47
8.5,0.4,0.26,0.41
8.75,0.4,0.3,0.41
9.0,0.4,0.28,0.4
9.25,0.4,0.29,0.49
9.5,0.37,0.26,0.46
9.75,0.35,0.29,0.44
10.0,0.34,0.29,0.41
