,L1NN,L2NN,RIDGE
0.0,173.90112133,191.226776368,58.3195201135
0.25,183.343830003,434.453403716,797.244927384
0.5,217.496666641,1157.86379164,1833.15247917
0.75,226.241463927,2222.8462385,3446.23010652
1.0,225.405323806,2825.19277218,4877.87835373
1.25,242.917187535,3833.00553091,6256.53768786
1.5,253.806225298,4470.69636187,8314.70508794
1.75,284.958031998,5526.36480157,10882.868667
2.0,277.983668585,5838.8062136,11628.7562293
2.25,304.994950778,6382.12777998,12988.2028465
2.5,306.383681028,7263.94557524,16264.7700772
2.75,308.456479912,7043.48347907,17362.8350651
3.0,324.287773436,7283.45956534,18520.3923959
3.25,336.834796302,7819.67522343,21820.5613916
3.5,363.219658058,7732.29499696,25591.0134312
3.75,376.89855399,8483.4940396,27180.0428263
4.0,362.080874944,8025.90506797,28812.3683826
4.25,361.229899095,8848.12504658,33564.0499369
4.5,389.434513108,8836.45575104,38247.5020296
4.75,413.658796594,8795.31613303,40959.0744297
5.0,442.009094929,8771.46457782,44726.4062474
5.25,488.244733715,8978.94577999,48667.9415136
5.5,528.771633127,9438.20900595,51971.7080919
5.75,517.272230068,9705.36961481,56111.390806
6.0,508.856011068,9103.99577109,61705.013328
6.25,547.070891201,9235.48673758,68108.3427527
6.5,575.63488428,9541.21001551,73271.3524537
6.75,564.53680128,9746.40622383,77476.3569843
7.0,628.784828061,9854.34720111,79879.8311985
7.25,577.960483078,9520.84775007,81341.5883524
7.5,708.135636725,9690.84763888,80423.4159474
7.75,669.864732614,9406.29486036,83286.4866819
8.0,815.459477841,10003.7620883,85074.3068256
8.25,828.954329261,9838.79226125,91303.6284889
8.5,820.9596336,9888.05169485,96116.9277123
8.75,928.687891598,9431.75994605,92110.5785146
9.0,871.050675908,9995.72158476,97185.6121607
9.25,851.819534878,10043.59816,104497.329131
9.5,939.672474855,9827.09188926,110014.360967
9.75,947.16915068,10085.9170133,108598.899226
10.0,1035.07128257,10165.4075885,113460.355394
