,TrainL1,TrainL2,TrainRR,TestL1,TestL2,TestRR,CVL1,CVL2,CVRR
346,0.823699421965,0.768786127168,0.956647398844,0.684782608696,0.391304347826,0.641304347826,0.725433526012,0.736994219653,0.947976878613
462,0.91341991342,0.816017316017,0.965367965368,0.782608695652,0.478260869565,0.619565217391,0.805194805195,0.796536796537,0.961038961039
578,0.939446366782,0.870242214533,0.958477508651,0.923913043478,0.641304347826,0.630434782609,0.835640138408,0.809688581315,0.958477508651
693,0.959595959596,0.933621933622,0.972582972583,0.826086956522,0.641304347826,0.630434782609,0.894660894661,0.835497835498,0.968253968254
809,0.961681087763,0.938195302843,0.961681087763,0.967391304348,0.608695652174,0.641304347826,0.91718170581,0.857849196539,0.957972805933
925,0.974054054054,0.944864864865,0.967567567568,0.804347826087,0.641304347826,0.630434782609,0.942702702703,0.895135135135,0.964324324324
1040,0.968269230769,0.960576923077,0.965384615385,0.847826086957,0.641304347826,0.619565217391,0.958653846154,0.910576923077,0.963461538462
1156,0.975778546713,0.948961937716,0.965397923875,0.815217391304,0.641304347826,0.858695652174,0.956747404844,0.938581314879,0.961937716263
1272,0.974842767296,0.959905660377,0.969339622642,0.782608695652,0.641304347826,0.717391304348,0.959119496855,0.948113207547,0.968553459119
1387,0.966834895458,0.954578226388,0.968276856525,0.79347826087,0.641304347826,0.619565217391,0.961788031723,0.950252343187,0.966834895458
1503,0.980705256154,0.954091816367,0.967398536261,0.815217391304,0.641304347826,0.79347826087,0.960079840319,0.942115768463,0.966733200266
1619,0.985176034589,0.965410747375,0.968499073502,0.847826086957,0.70652173913,0.652173913043,0.958616429895,0.939468807906,0.9660284126
1734,0.983852364475,0.955594002307,0.96770472895,0.836956521739,0.641304347826,0.739130434783,0.960784313725,0.950980392157,0.964821222607
1850,0.988648648649,0.968108108108,0.973513513514,0.826086956522,0.641304347826,0.934782608696,0.964324324324,0.953513513514,0.968108108108
1966,0.986775178026,0.966937945066,0.971515768057,0.836956521739,0.641304347826,0.869565217391,0.970498474059,0.951678535097,0.970498474059
2081,0.990869774147,0.975492551658,0.965881787602,0.847826086957,0.70652173913,0.945652173913,0.975492551658,0.952426717924,0.966362325805
2197,0.986800182066,0.986345015931,0.96768320437,0.836956521739,0.70652173913,0.869565217391,0.977696859354,0.954938552572,0.965862539827
2313,0.984003458712,0.988326848249,0.968439256377,0.847826086957,0.70652173913,0.902173913043,0.976653696498,0.959792477302,0.96757457847
