,TrainL1,TrainL2,TrainRR,TestL1,TestL2,TestRR,CVL1,CVL2,CVRR
346,8.89304716135,9.07012066663,17.3222324309,18.446987799,26.3153216128,49.0378210424,14.9995538856,13.0233406134,17.6048732602
462,8.53438838723,5.85932297457,17.0869830984,21.5842441925,26.7829706195,52.3670605479,12.9514510366,9.50396600238,17.6025715512
578,6.81520978913,5.46749228891,16.4094426805,12.0992518703,15.1774909153,50.1129015987,10.4783302498,8.33897724945,16.6109100182
693,5.096476884,3.8793186546,15.7566706381,17.8885368136,16.9722206905,50.1629256743,9.2444696931,6.89439520081,16.019811887
809,4.21264835493,3.19604922309,16.5622405566,3.93115208439,8.34650499081,49.7507746952,7.02699314312,5.2118361065,16.8457766009
925,3.14988018359,3.27438454712,16.4195424958,6.47011059586,12.1751381572,49.3013888684,6.03653053106,4.52071229767,16.6190602
1040,3.46951021804,2.95017324075,15.0741391988,12.6641944134,16.0599543495,49.9771130914,6.7761893164,4.98371174259,15.3040082265
1156,1.88832173053,1.62929426397,16.0797501475,2.37503725784,5.94740545349,50.4959583687,5.18811764645,3.6896956027,16.3920950445
1272,2.6034593616,2.31493598216,14.7921653608,10.1720112922,14.9943620217,49.8426982079,4.95343445397,3.85119710893,15.0123018541
1387,2.3898335034,2.24478698848,14.5892774196,9.48292978303,12.2933258951,50.2084589456,4.78786827748,3.47582422455,14.7692638448
1503,1.1896428207,1.44780397964,15.927411816,4.38299091904,8.45779842244,48.4965227088,2.79398993508,3.00635662749,16.1229548567
1619,1.01106085541,0.973531885058,15.552523058,2.95642735608,4.11540859754,49.8792419119,2.65054966866,2.32602449519,15.8305110997
1734,0.811176222014,0.97253131743,14.7947267549,3.68435467922,6.66289333167,50.2725641043,2.2746973432,2.29940330403,15.027566818
1850,0.726401994592,1.06369432892,14.9453605158,4.25811037533,8.68315406259,49.9501791692,1.9957037827,2.27212730787,15.1503535082
1966,0.703397217238,0.621517493394,15.0146813185,3.87529813113,6.55905642524,50.1530263683,1.47086422736,1.91392126735,15.2105568607
2081,0.693599228009,0.515663692129,14.9169511256,2.89725064094,4.80344706679,49.3264121153,1.84052417446,1.98925856625,15.1546806968
2197,0.641009270025,0.506729735108,15.234686829,2.88015953212,4.79801228418,49.7853018576,1.36652777834,1.24983473167,15.4631805029
2313,0.582758767614,0.512095680168,14.9270597177,2.85811986071,4.78030541181,49.7226941491,1.26956446367,1.36081626089,15.1684564523
