,TrainScore,TestScore,CVScore
0.15,93.8737320037,90.0876626342,87.5950358585
0.194736842105,97.5728648777,88.5340379951,93.2346503909
0.239473684211,97.1371122497,88.3564060035,94.1422798843
0.284210526316,97.3752904217,88.628956557,95.0791645138
0.328947368421,98.67922762,88.3452751842,97.9181455154
0.373684210526,98.0033075466,88.3968505225,96.4997007223
0.418421052632,98.4139950134,88.0386145811,97.3394894941
0.463157894737,98.4060370826,88.1190292713,97.6364170074
0.507894736842,98.4330237315,88.1350324971,97.7423078846
0.552631578947,98.7388456174,88.1122345042,98.1699654464
0.597368421053,98.5889835515,88.0206132225,98.2145237548
0.642105263158,98.5058434197,88.0282674229,98.1167113656
0.686842105263,98.4720699639,88.0241240174,97.9387295831
0.731578947368,98.506172477,87.9758348058,98.1375507091
0.776315789474,98.5397868664,87.9835880551,97.9306466406
0.821052631579,98.7756827103,87.8232807928,98.3155935993
0.865789473684,98.5528495681,87.8618696588,98.1830139691
0.910526315789,98.6679886408,87.822398676,98.2722838099
0.955263157895,98.7326504255,87.7853934543,98.3106923695
1.0,98.7622632652,87.7239369441,98.3003431552
