,TrainScore,TestScore,CVScore
0.15,100.0,89.4350854677,92.7773767984
0.194736842105,100.0,89.4111409013,95.750927187
0.239473684211,100.0,89.3258153475,97.4248068529
0.284210526316,100.0,89.1786893392,97.6312101905
0.328947368421,100.0,88.9857871351,97.9355962128
0.373684210526,100.0,89.3472998881,98.0873809544
0.418421052632,100.0,89.6608619672,98.4884619046
0.463157894737,100.0,90.3602632114,98.6677082211
0.507894736842,100.0,90.1709051496,98.7216146407
0.552631578947,100.0,89.7718046857,98.880299868
0.597368421053,100.0,89.6083135287,98.9629079206
0.642105263158,100.0,89.4965686295,99.0377199141
0.686842105263,100.0,89.86304436,99.1834183848
0.731578947368,100.0,89.4793487078,99.438074208
0.776315789474,100.0,89.9098328976,99.1954096614
0.821052631579,100.0,90.0568537053,99.529173774
0.865789473684,100.0,90.0050898146,99.4370155961
0.910526315789,100.0,90.17554436,99.5565190161
0.955263157895,100.0,90.17554436,99.6126753636
1.0,100.0,90.17554436,99.5939377036
