,TrainNegErr,TestNegErr,CVNegErr
0.15,0.0,-873.487512666,-632.408369506
0.194736842105,0.0,-869.468853356,-534.567738146
0.239473684211,0.0,-852.392413204,-434.16420391
0.284210526316,0.0,-870.29979842,-394.194359806
0.328947368421,0.0,-873.560306273,-368.056121813
0.373684210526,0.0,-861.599246094,-365.672895723
0.418421052632,0.0,-821.32382535,-310.843128303
0.463157894737,0.0,-822.037500467,-297.524175355
0.507894736842,0.0,-819.533271203,-283.719219907
0.552631578947,0.0,-839.205110442,-257.48923128
0.597368421053,0.0,-868.48318549,-255.413741702
0.642105263158,0.0,-824.690323961,-238.026821339
0.686842105263,0.0,-830.097558436,-235.032234041
0.731578947368,0.0,-861.239627312,-185.62605716
0.776315789474,0.0,-836.173998951,-212.844768136
0.821052631579,0.0,-824.099640451,-179.309129958
0.865789473684,0.0,-832.758642418,-183.925140517
0.910526315789,0.0,-812.426585312,-187.27008696
0.955263157895,0.0,-812.426585312,-157.458749895
1.0,0.0,-812.426585312,-149.63278296
