,TrainNegErr,TestNegErr,CVNegErr
0.15,-3.9860653134,-1039.19335523,-9.35332704128
0.194736842105,-3.35777462364,-1040.11125383,-6.73251179229
0.239473684211,-2.9872375,-1042.82482253,-5.40222962452
0.284210526316,-2.62067232538,-1043.41483887,-4.25743484821
0.328947368421,-2.41989296254,-1044.04964397,-3.75479219498
0.373684210526,-2.33800022239,-1045.33956829,-3.5651334563
0.418421052632,-2.11450123886,-1046.00816853,-3.0042063565
0.463157894737,-2.10575700714,-1046.48744959,-3.00156205093
0.507894736842,-1.96715022645,-1046.65625687,-2.95110885124
0.552631578947,-1.87329869876,-1047.29543152,-2.50487487068
0.597368421053,-1.78541533287,-1047.49324417,-2.41882883973
0.642105263158,-1.74072326433,-1047.84461322,-2.1674167281
0.686842105263,-1.6594248146,-1048.36717359,-2.12272295661
0.731578947368,-1.62201494621,-1048.30233998,-2.00329108907
0.776315789474,-1.57517232254,-1048.71442344,-1.944101464
0.821052631579,-1.53389194659,-1048.84634275,-1.86611092555
0.865789473684,-1.47774839903,-1049.33041612,-1.84784417577
0.910526315789,-1.44043064871,-1049.3651829,-1.78456578927
0.955263157895,-1.40253866997,-1049.50932919,-1.70311267031
1.0,-1.3719529675,-1049.65961115,-1.67416390394
