,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,Algorithm
0,0.5356543064117432,12.638987064361572,0.95201769762871,0.9520519702771808,-0.18422077302312143,knn
1,0.5841050148010254,12.711216688156128,0.9525442577703724,0.9525698863586156,-0.1849093839565186,knn
2,0.5488731861114502,12.822089195251465,0.9488716705557501,0.9490395362824096,-0.19383537820584795,knn
3,0.5757544040679932,12.956337928771973,0.9522799643259734,0.9522804594049914,-0.1892440762380185,knn
4,0.43239331245422363,5.606956958770752,0.9500242699108049,0.9500540779131318,-0.19269162201796744,knn
0,0.3941218852996826,0.005471944808959961,0.9750588397782096,0.9750926170430266,-0.05652191387307633,dtree
1,0.4215872287750244,0.0053637027740478516,0.9797560637434138,0.9797817124122363,-0.04966301843317991,dtree
2,0.4060196876525879,0.005476474761962891,0.9771894034091143,0.9772173658105707,-0.0514288770053478,dtree
3,0.41750192642211914,0.004068136215209961,0.9777493592076784,0.9777529547243745,-0.054711543564794546,dtree
4,0.2596285343170166,0.0030591487884521484,0.9794883316268568,0.9794897358539416,-0.050795497066751426,dtree
0,3937.0196537971497,2.6125967502593994,0.9852805330490623,0.9852810206616479,-0.09936103173117532,svr
1,3197.674369573593,4.347644567489624,0.9890158642207643,0.9890193141857813,-0.0943210712538362,svr
2,3793.418731212616,4.0239715576171875,0.9862617680010142,0.9862635132708012,-0.09974608168542755,svr
3,3702.0661051273346,4.420912265777588,0.988462909580662,0.9884794276377903,-0.09504051418868997,svr
4,2399.78661608696,2.3758766651153564,0.9884469688838745,0.9884560124430349,-0.09592922653076207,svr
