,fit_time,score_time,test_accuracy,Algorithm
0,0.5540523529052734,4.189815998077393,0.9674168626133691,knn
1,0.5550243854522705,4.208332538604736,0.9643817204301075,knn
2,0.5750594139099121,4.187241315841675,0.9690756302521009,knn
3,0.5711395740509033,4.061164140701294,0.9663865546218487,knn
4,0.2702820301055908,1.7524003982543945,0.9657027572293208,knn
0,0.43242907524108887,0.00743556022644043,0.987571380584481,dtree
1,0.42949509620666504,0.005974292755126953,0.988239247311828,dtree
2,0.38773393630981445,0.006840944290161133,0.9899159663865547,dtree
3,0.376784086227417,0.004484891891479492,0.987563025210084,dtree
4,0.21674299240112305,0.003226757049560547,0.9895763281775387,dtree
0,5.48924994468689,0.31578707695007324,0.9912663755458515,svr
1,6.012171268463135,0.2834503650665283,0.991263440860215,svr
2,5.201122283935547,0.3061716556549072,0.9892436974789915,svr
3,5.818908214569092,0.253887414932251,0.9936134453781512,svr
4,2.536113977432251,0.15888214111328125,0.9899125756556826,svr
