TrainSizeFrac,AbsTrainSize,TrainScore,TrainStd,CV-Score,CV-Std,Algorithm
0.1,1190,0.9999999999999994,1.2161883888976234e-16,0.6271260082858664,0.019453935587588466,knn
0.2,2380,0.9999999999999989,1.8577584504832502e-16,0.7228505658379888,0.007544237468401419,knn
0.3,3570,0.9999999999999986,2.3288234633381846e-16,0.7574666569483088,0.006327867562699686,knn
0.4,4760,0.999999999999998,2.1065000811460205e-16,0.7822434761788418,0.00597386430051499,knn
0.5,5950,0.9999999999999976,1.6467268631127714e-16,0.8046262012136959,0.009587977530060385,knn
0.55,6545,0.9999999999999971,1.5700924586837752e-16,0.8131601197389406,0.009214128708427704,knn
0.6,7140,0.999999999999997,1.2161883888976234e-16,0.8176526644202655,0.012083826538362914,knn
0.65,7735,0.9999999999999967,4.965068306494546e-17,0.8256195642248441,0.01120461695651731,knn
0.7,8330,0.9999999999999964,4.965068306494546e-17,0.8301138196175023,0.01159827568362277,knn
0.75,8925,0.9999999999999962,7.021666937153402e-17,0.8342112916145172,0.010500902931103145,knn
0.8,9520,0.9999999999999959,7.021666937153402e-17,0.8389975355716752,0.009152180786998764,knn
0.85,10115,0.9999999999999958,9.930136612989092e-17,0.8414371447144389,0.010949378259624791,knn
0.9,10710,0.9999999999999953,1.4895204919483638e-16,0.8450685695115242,0.00979037763684565,knn
0.95,11305,0.9999999999999952,4.965068306494546e-17,0.8497360270903223,0.008482253923711927,knn
1.0,11901,0.999999999999995,4.965068306494546e-17,0.8532072771189068,0.007116177932342149,knn
0.1,1190,0.9999999999999971,4.710277376051325e-16,0.6914496753731035,0.028663899325276864,dtree
0.2,2380,0.9999999999999967,3.1006841635969763e-16,0.7843981353848916,0.021215055111199924,dtree
0.3,3570,0.9999999999999964,2.1642230995786356e-16,0.8193237245777427,0.011768454419734587,dtree
0.4,4760,0.9999999999999959,2.1642230995786356e-16,0.8422028747046844,0.012263586805485534,dtree
0.5,5950,0.9999999999999956,1.6467268631127714e-16,0.8537422608578241,0.01004419424262467,dtree
0.55,6545,0.9999999999999953,7.021666937153402e-17,0.8595947402337016,0.0119687235132828,dtree
0.6,7140,0.9999999999999952,2.220446049250313e-16,0.8658325972600247,0.00782622753356717,dtree
0.65,7735,0.9999999999999949,9.930136612989092e-17,0.8683876598865627,0.00834271628710022,dtree
0.7,8330,0.9999999999999947,7.021666937153402e-17,0.8637385615594037,0.0062950514227270256,dtree
0.75,8925,0.9999999999999943,1.5700924586837752e-16,0.8639205460712601,0.01238321903546526,dtree
0.8,9520,0.9999999999999941,1.9860273225978183e-16,0.8671040538840395,0.010420881105935312,dtree
0.85,10115,0.999999999999994,8.599750569898517e-17,0.872960572161569,0.00643504938659202,dtree
0.9,10710,0.999999999999994,1.3136335981433191e-16,0.8737930581709552,0.01216443907248689,dtree
0.95,11305,0.9999999999999938,7.021666937153402e-17,0.8777678443926863,0.002345537616555445,dtree
1.0,11901,0.9999999999999934,1.2161883888976234e-16,0.8792423161194437,0.009585217318698307,dtree
0.1,1190,0.9083177609164395,0.007260894223531603,0.8668525196356374,0.004857969233753217,svr
0.2,2380,0.9192959620638407,0.0016649823156755623,0.8978073280141796,0.012042126231240692,svr
0.3,3570,0.9243673411611795,0.003041117235552342,0.9087149944602766,0.009052189417122963,svr
0.4,4760,0.9274725443539336,0.004209308933935272,0.9152742452578331,0.007928617363218182,svr
0.5,5950,0.9289815596847781,0.004324059578444194,0.9208756947535524,0.005004124214427251,svr
0.55,6545,0.9293464990116285,0.0028805903384683585,0.9221861231512622,0.005636248947408914,svr
0.6,7140,0.929598955354699,0.0019219398020523472,0.9237231739928641,0.0058802986672560715,svr
0.65,7735,0.930168221912006,0.001321353796474477,0.9250660671164344,0.005826956605322169,svr
0.7,8330,0.9307898662849222,0.0009738385522063275,0.9261196528302961,0.005443870147247649,svr
0.75,8925,0.9316389631032209,0.0009002985410443882,0.927175965422211,0.0055647782773251804,svr
0.8,9520,0.9319611576264666,0.0011404574841453474,0.9278010549404405,0.005763889253944018,svr
0.85,10115,0.9326330816560674,0.0012050854565816337,0.92840173242673,0.005960631449381619,svr
0.9,10710,0.9332142518737678,0.001519574765170879,0.9289043475160186,0.0057101945648344145,svr
0.95,11305,0.9336490878102419,0.0013226219974739825,0.9294999932250375,0.00565590635968923,svr
1.0,11901,0.9336655095242904,0.0009976068849543325,0.9298643605636041,0.005711223284889015,svr
