,fit_time,score_time,test_accuracy,Algorithm,Sparsity
0,0.7782425880432129,5.223701000213623,0.972791400738999,knn,0.0025170940721004342
1,0.7485496997833252,5.159926176071167,0.9710924369747899,knn,0.0025170940721004342
2,0.8030104637145996,4.872051000595093,0.9620168067226891,knn,0.0025170940721004342
3,0.7515671253204346,5.252515077590942,0.9687394957983193,knn,0.0025170940721004342
4,0.5786340236663818,2.766810894012451,0.9690756302521009,knn,0.0025170940721004342
5,0.6229562759399414,0.009378671646118164,0.9916022841787034,dtree,0.0025170940721004342
6,0.7169568538665771,0.008591175079345703,0.9905882352941177,dtree,0.0025170940721004342
7,0.7062971591949463,0.005265951156616211,0.9865546218487395,dtree,0.0025170940721004342
8,0.6111297607421875,0.008279561996459961,0.986890756302521,dtree,0.0025170940721004342
9,0.32627058029174805,0.004743337631225586,0.986890756302521,dtree,0.0025170940721004342
10,5.834704399108887,0.29733991622924805,0.9973127309371851,svr,0.0025170940721004342
11,6.372202396392822,0.30108642578125,0.9979831932773109,svr,0.0025170940721004342
12,5.627040386199951,0.28977179527282715,0.9966386554621849,svr,0.0025170940721004342
13,6.456772804260254,0.23684906959533691,0.9969747899159664,svr,0.0025170940721004342
14,3.525991201400757,0.19635653495788574,0.9983193277310924,svr,0.0025170940721004342
15,0.720717191696167,4.728212594985962,0.9734632180047027,knn,0.01845630625025918
16,0.7489049434661865,4.42854642868042,0.9741176470588235,knn,0.01845630625025918
17,0.7353994846343994,4.481281042098999,0.9647058823529412,knn,0.01845630625025918
18,0.7192468643188477,4.651402711868286,0.9690756302521009,knn,0.01845630625025918
19,0.41678881645202637,2.385333299636841,0.9697478991596639,knn,0.01845630625025918
20,0.5689799785614014,0.008251428604125977,0.9895868323815922,dtree,0.01845630625025918
21,0.5961081981658936,0.008550882339477539,0.9936134453781512,dtree,0.01845630625025918
22,0.5121731758117676,0.008381366729736328,0.9842016806722689,dtree,0.01845630625025918
23,0.5294063091278076,0.005257368087768555,0.984873949579832,dtree,0.01845630625025918
24,0.3498544692993164,0.004786968231201172,0.986890756302521,dtree,0.01845630625025918
25,5.01533842086792,0.2536039352416992,0.9966409136714813,svr,0.01845630625025918
26,4.761209964752197,0.29879212379455566,0.9976470588235294,svr,0.01845630625025918
27,4.820822715759277,0.2916259765625,0.9963025210084033,svr,0.01845630625025918
28,4.770217657089233,0.29610252380371094,0.9959663865546219,svr,0.01845630625025918
29,2.9318461418151855,0.18562650680541992,0.9973109243697479,svr,0.01845630625025918
30,0.7407529354095459,4.40441632270813,0.9687604971447766,knn,0.08619903063274881
31,0.7455377578735352,4.402735710144043,0.971764705882353,knn,0.08619903063274881
32,0.7183845043182373,4.420614242553711,0.9589915966386554,knn,0.08619903063274881
33,0.7350711822509766,4.451159477233887,0.9694117647058823,knn,0.08619903063274881
34,0.37666821479797363,2.3593385219573975,0.9684033613445379,knn,0.08619903063274881
35,0.4718606472015381,0.008379936218261719,0.9892509237487404,dtree,0.08619903063274881
36,0.5293445587158203,0.008568048477172852,0.9912605042016807,dtree,0.08619903063274881
37,0.514462947845459,0.005461215972900391,0.9838655462184874,dtree,0.08619903063274881
38,0.47896575927734375,0.008205890655517578,0.986218487394958,dtree,0.08619903063274881
39,0.30272579193115234,0.004788637161254883,0.9922689075630252,dtree,0.08619903063274881
40,4.361749172210693,0.39316606521606445,0.9919381928115553,svr,0.08619903063274881
41,4.549603700637817,0.37958550453186035,0.9882352941176471,svr,0.08619903063274881
42,4.641061067581177,0.4014134407043457,0.9902521008403361,svr,0.08619903063274881
43,4.6582934856414795,0.3184216022491455,0.9912605042016807,svr,0.08619903063274881
44,3.0325441360473633,0.2440176010131836,0.9926050420168068,svr,0.08619903063274881
45,0.7140984535217285,4.581834554672241,0.9731273093718509,knn,0.15796195469516705
46,0.7089238166809082,4.519803762435913,0.972436974789916,knn,0.15796195469516705
47,0.7795536518096924,4.627867698669434,0.9626890756302521,knn,0.15796195469516705
48,0.7426037788391113,4.617574453353882,0.9690756302521009,knn,0.15796195469516705
49,0.3671267032623291,2.408808469772339,0.9714285714285714,knn,0.15796195469516705
50,0.43192362785339355,0.008527994155883789,0.9865636546859254,dtree,0.15796195469516705
51,0.44779324531555176,0.008719921112060547,0.9889075630252101,dtree,0.15796195469516705
52,0.44882988929748535,0.008362770080566406,0.9885714285714285,dtree,0.15796195469516705
53,0.41802477836608887,0.006206989288330078,0.9902521008403361,dtree,0.15796195469516705
54,0.24497056007385254,0.004830837249755859,0.9808403361344538,dtree,0.15796195469516705
55,8.084403276443481,0.5127439498901367,0.9805172992945919,svr,0.15796195469516705
56,9.19167685508728,0.4669785499572754,0.9818487394957983,svr,0.15796195469516705
57,8.821704149246216,0.509077787399292,0.9781512605042016,svr,0.15796195469516705
58,9.00565481185913,0.4282104969024658,0.9764705882352941,svr,0.15796195469516705
59,5.1119749546051025,0.32962751388549805,0.9828571428571429,svr,0.15796195469516705
60,0.7149090766906738,4.423958778381348,0.9724554921061471,knn,0.2307946437382279
61,0.7232303619384766,4.418897867202759,0.9721008403361344,knn,0.2307946437382279
62,0.7718534469604492,4.529693126678467,0.9623529411764706,knn,0.2307946437382279
63,0.737342119216919,4.509027719497681,0.9707563025210084,knn,0.2307946437382279
64,0.3635060787200928,2.379991292953491,0.973109243697479,knn,0.2307946437382279
65,0.38085317611694336,0.008559465408325195,0.9885791064830366,dtree,0.2307946437382279
66,0.4172329902648926,0.00894474983215332,0.9899159663865547,dtree,0.2307946437382279
67,0.39794087409973145,0.008337259292602539,0.985546218487395,dtree,0.2307946437382279
