TrainSizeFrac,AbsTrainSize,TrainScore,TrainStd,CV-Score,CV-Std,Algorithm
0.1,1190,0.9982706700046542,0.0016053773651574376,0.8569649554875405,0.00317305976849105,knn
0.2,2380,0.9974221465125079,0.0010602403999735632,0.8955468248820619,0.005193382004651108,knn
0.3,3570,0.9963077271283879,0.0017090143602754755,0.9129848250709987,0.004342742548351764,knn
0.4,4760,0.9956439239394056,0.0011932219021606723,0.9248058730445917,0.00423670226125209,knn
0.5,5950,0.9956167923578981,0.0015366805639353768,0.9328026180083226,0.005108609257525208,knn
0.55,6545,0.9956288550704473,0.0012838820715018976,0.9362326086053475,0.004950587126724562,knn
0.6,7140,0.9958941422579134,0.0011085467029482094,0.9392108548190796,0.004904497594103023,knn
0.65,7735,0.9955780916877298,0.0013381752986386117,0.9418823747137655,0.004646525669576766,knn
0.7,8330,0.9956388428442459,0.0011958531650157391,0.9440498898502862,0.0045016644079123435,knn
0.75,8925,0.9956699042310371,0.001009594608081036,0.9460605137147746,0.004739636487989658,knn
0.8,9520,0.9956580822770349,0.0009112976355658595,0.9477560424290419,0.004774483906887279,knn
0.85,10115,0.995532335623853,0.000888162693845341,0.9489899757204201,0.0044130033240940775,knn
0.9,10710,0.9956774318223282,0.0007931004941915623,0.950868981717227,0.003740660533358254,knn
0.95,11305,0.9955165678817404,0.000878030729943894,0.9523083869848126,0.003832633984148577,knn
1.0,11901,0.9956252320570229,0.000624203794263728,0.9540423410724893,0.00395743628002954,knn
0.1,1190,0.9944697801361139,0.003866375144417228,0.8262126965829865,0.012743803783531165,dtree
0.2,2380,0.9959935107506628,0.0022088087817400746,0.8839387906215448,0.003037133858480129,dtree
0.3,3570,0.9961743381304629,0.001709618901108595,0.9044883812060048,0.005465455686126867,dtree
0.4,4760,0.9964199199720823,0.0010218338168671672,0.9277258299928827,0.005017934131569351,dtree
0.5,5950,0.9963446380102269,0.0006497150762343148,0.9442309351588491,0.005069079882834688,dtree
0.55,6545,0.9962921495650088,0.0006223591792093591,0.9463350625242282,0.004323376115231598,dtree
0.6,7140,0.9962323615503654,0.00040931588372353174,0.9547295931836726,0.004868116683541146,dtree
0.65,7735,0.9963650555433559,0.0003239730895717252,0.9606355360460753,0.003348093195419436,dtree
0.7,8330,0.996525037283164,0.0003247258547093229,0.9633270804270101,0.002906016781968257,dtree
0.75,8925,0.996375383983158,0.0004851864754807789,0.9663827662782978,0.005258688938726536,dtree
0.8,9520,0.9962936062835706,0.0006225560857104138,0.9667334244440958,0.0051025290636447385,dtree
0.85,10115,0.9961380220110063,0.0006355812913954841,0.9704353530080578,0.0039051601458546313,dtree
0.9,10710,0.9961324052027605,0.0006174988369001492,0.9726320076328584,0.0030892512902895948,dtree
0.95,11305,0.9961580901904167,0.0005853845558674573,0.9752227110258218,0.001559801734079324,dtree
1.0,11901,0.9961157082911842,0.00044697404485635766,0.9766673588782873,0.0025125912489928595,dtree
0.1,1190,0.9912320258616084,0.002836447681154544,0.8510941864532316,0.010968242036171761,svr
0.2,2380,0.9920486703033475,0.0015426852559418925,0.933916363184423,0.004794724980872346,svr
0.3,3570,0.9918500716648412,0.0008400061814790957,0.9600224424602377,0.004619690545219346,svr
0.4,4760,0.9919958292363917,0.0006602753264381195,0.9713365976483759,0.003360517064614739,svr
0.5,5950,0.9920723747218918,0.0006916060409458865,0.9778568860399334,0.0025467773931305295,svr
0.55,6545,0.9921456041608054,0.0007258081575830319,0.9801300688916816,0.0018241921386191436,svr
0.6,7140,0.9921248846316318,0.0007366983926944128,0.9820557865091292,0.0019100792368333319,svr
0.65,7735,0.9921435942443976,0.0005244265517671158,0.9833721695914802,0.0017193186797709492,svr
0.7,8330,0.9922850004503265,0.0005581392143533118,0.9846699701583992,0.0018790862564631151,svr
0.75,8925,0.9924528424509482,0.0004974727997594681,0.9858781726845827,0.0023187430377615875,svr
0.8,9520,0.9924050368159891,0.000661067817942259,0.9868867170804265,0.002309361584005719,svr
0.85,10115,0.9924006728416973,0.000602102829439416,0.9874269922559897,0.0021784784212952554,svr
0.9,10710,0.9926128407932981,0.000657948983866918,0.987989548960333,0.002067769254079367,svr
0.95,11305,0.9927751714118165,0.0005156466472385194,0.9884275805267027,0.00205700436101023,svr
1.0,11901,0.9929112763960207,0.0004821045410214591,0.9888712000076453,0.001938973608949413,svr
