TrainSizeFrac,AbsTrainSize,TrainScore,CV-Score,Algorithm
0.1,176,0.9954545454545454,0.87185556366122,dtree
0.2,353,0.9946175637393766,0.938486639860824,dtree
0.3,530,0.9943396226415094,0.95168746168021,dtree
0.4,707,0.9943422913719943,0.9618607546671362,dtree
0.5,884,0.9941176470588236,0.970003564640983,dtree
0.55,972,0.9941358024691358,0.9766052177618529,dtree
0.6,1060,0.9932075471698113,0.9781253912472186,dtree
0.65,1149,0.9932114882506525,0.9771154480037729,dtree
0.7,1237,0.9925626515763945,0.9796433173626792,dtree
0.75,1326,0.9927601809954751,0.9847324092392983,dtree
0.8,1414,0.9930693069306932,0.9786227514327587,dtree
0.85,1502,0.992942743009321,0.9852218142827279,dtree
0.9,1591,0.9928346951602766,0.9832172311613936,dtree
0.95,1679,0.9918403811792734,0.981704827683798,dtree
1.0,1768,0.9918552036199093,0.9867784057051641,dtree
0.1,176,0.9994318181818181,0.9119942663089871,xtree
0.2,353,0.9974504249291783,0.9404937335647995,xtree
0.3,530,0.9956603773584904,0.9542128981324052,xtree
0.4,707,0.994766619519095,0.966432056381295,xtree
0.5,884,0.9952488687782803,0.9735671708840672,xtree
0.55,972,0.9943415637860082,0.9735411659487075,xtree
0.6,1060,0.994811320754717,0.9791355449803602,xtree
0.65,1149,0.9943429068755438,0.9791303914037778,xtree
0.7,1237,0.9941794664510913,0.9791511111561875,xtree
0.75,1326,0.994343891402715,0.9867655348438523,xtree
0.8,1414,0.9944130127298443,0.9832276699209259,xtree
0.85,1502,0.9940079893475365,0.9826760524947618,xtree
0.9,1591,0.9942174732872407,0.9867706618576815,xtree
0.95,1679,0.9935675997617631,0.9826784841940752,xtree
1.0,1768,0.9916289592760181,0.9831887409987482,xtree
0.1,176,0.5704545454545454,0.5265361912279969,bayes
0.2,353,0.5297450424929179,0.5116927806703007,bayes
0.3,530,0.5167924528301888,0.5117391898247591,bayes
0.4,707,0.5268741159830268,0.5238983569005324,bayes
0.5,884,0.5217194570135747,0.5162480425062006,bayes
0.55,972,0.5255144032921811,0.5234040618957225,bayes
0.6,1060,0.5269811320754718,0.5284621791873424,bayes
0.65,1149,0.5212358572671889,0.5203300450254765,bayes
0.7,1237,0.5237671786580436,0.5182451989232265,bayes
0.75,1326,0.5257164404223228,0.5223347339953577,bayes
0.8,1414,0.5252475247524753,0.5152564935668634,bayes
0.85,1502,0.5260319573901465,0.5203325040924751,bayes
0.9,1591,0.529666876178504,0.5223370610535223,bayes
0.95,1679,0.5301369863013699,0.524359853344625,bayes
1.0,1768,0.5292420814479637,0.5258646715463249,bayes
