TrainSizeFrac,AbsTrainSize,TrainScore,CV-Score,Algorithm
0.1,925,0.9999999999999787,0.7466774417140215,dtree
0.2,1851,0.9999999999999757,0.8735374513674697,dtree
0.3,2777,0.9999999999999728,0.9376287369688544,dtree
0.4,3703,0.9999999999999704,0.933362573798305,dtree
0.5,4629,0.9999999999999689,0.960308863143019,dtree
0.55,5091,0.999999999999968,0.9601330170243226,dtree
0.6,5554,0.9999999999999669,0.9632554477109618,dtree
0.65,6017,0.9999999999999659,0.9580375272552175,dtree
0.7,6480,0.9999999999999641,0.9706198796148113,dtree
0.75,6943,0.9999999999999627,0.9636682971950948,dtree
0.8,7406,0.9999999999999615,0.976381577321819,dtree
0.85,7869,0.9999999999999595,0.9777150276357716,dtree
0.9,8332,0.999999999999958,0.9763056168475476,dtree
0.95,8795,0.9999999999999559,0.9746198023128706,dtree
1.0,9258,0.9999999999999541,0.9764185975487996,dtree
0.1,925,0.9999999999999851,0.7980703563946185,xtree
0.2,1851,0.9999999999999793,0.8984713896758812,xtree
0.3,2777,0.9999999999999764,0.9364118720161961,xtree
0.4,3703,0.9999999999999728,0.9518114136038882,xtree
0.5,4629,0.9999999999999695,0.9672065473592237,xtree
0.55,5091,0.9999999999999686,0.9736005307164053,xtree
0.6,5554,0.9999999999999669,0.9822124279510589,xtree
0.65,6017,0.9999999999999651,0.9850634187186096,xtree
0.7,6480,0.9999999999999645,0.9771791719444245,xtree
0.75,6943,0.9999999999999633,0.9894605003144606,xtree
0.8,7406,0.9999999999999607,0.9857529670741121,xtree
0.85,7869,0.9999999999999597,0.9868151609750848,xtree
0.9,8332,0.999999999999958,0.9843659819656503,xtree
0.95,8795,0.9999999999999561,0.9930868335911438,xtree
1.0,9258,0.9999999999999545,0.989962806736963,xtree
0.1,925,0.9402312733146466,0.9386462246761965,bayes
0.2,1851,0.9422974790430828,0.941255837306677,bayes
0.3,2777,0.9438813319411926,0.9420131854933771,bayes
0.4,3703,0.9436924927730009,0.9425886232170765,bayes
0.5,4629,0.9435138950276304,0.9427470068645739,bayes
0.55,5091,0.9436172904882442,0.9429125252574707,bayes
0.6,5554,0.9439719147359515,0.9430441352360589,bayes
0.65,6017,0.9439052486337927,0.943062982646764,bayes
0.7,6480,0.944028741898199,0.9429884301631262,bayes
0.75,6943,0.9437694448060056,0.9429789253335896,bayes
0.8,7406,0.9437377143236028,0.9430182067797948,bayes
0.85,7869,0.9437611654181615,0.9430856798106895,bayes
0.9,8332,0.9439247243600646,0.9430916331407095,bayes
0.95,8795,0.9439179246287029,0.9431524786080479,bayes
1.0,9258,0.9439049353808763,0.9431643468274935,bayes
