,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,Algorithm
0,0.03721451759338379,0.0012340545654296875,0.9910448860708161,-0.00904263959391314,dtree
1,0.031001806259155273,0.00095367431640625,0.9591913372101842,-0.014740315255146928,dtree
2,0.02026820182800293,0.0005714893341064453,0.9851419475965475,-0.014558375634522173,dtree
3,0.017543315887451172,0.0005986690521240234,0.9998973340776649,-0.000894529046817673,dtree
4,0.019997835159301758,0.0005745887756347656,0.9886909089414604,-0.011616004777549168,dtree
5,0.019080162048339844,0.0005691051483154297,0.9848179974663105,-0.011928934010156225,dtree
6,0.020610809326171875,0.0005750656127929688,0.9695944964631534,-0.019856605800218773,dtree
7,0.019717693328857422,0.0006296634674072266,0.9967315355916231,-0.005408163265309739,dtree
8,0.020458221435546875,0.0005769729614257812,0.999640573417206,-0.0011224489795955983,dtree
9,0.01810908317565918,0.0005714893341064453,0.9620530374024142,-0.01479501800720698,dtree
0,0.0038461685180664062,0.0005817413330078125,0.9992960523030039,-0.0041299492385828114,xtree
1,0.004130125045776367,0.0005671977996826172,0.9991480832495585,-0.0032670050761440367,xtree
2,0.0038008689880371094,0.0005688667297363281,0.992650231634825,-0.006816991717876831,xtree
3,0.0037620067596435547,0.0005538463592529297,0.9958582373992325,-0.004550253807109644,xtree
4,0.0038433074951171875,0.0005557537078857422,0.9795108800547221,-0.010991878172591027,xtree
5,0.003812551498413086,0.0005571842193603516,0.9360615126482041,-0.01758071065990257,xtree
6,0.0038106441497802734,0.000560760498046875,0.998529430095721,-0.005517346938778041,xtree
7,0.0035636425018310547,0.0005557537078857422,0.9997421422289431,-0.0019969387755139067,xtree
8,0.004202127456665039,0.0005674362182617188,0.99986820133127,-0.0008234693877589532,xtree
9,0.003530740737915039,0.0005526542663574219,0.9483652877390799,-0.02279897959184107,xtree
0,0.009139299392700195,0.0009369850158691406,0.8789453797817801,-0.15992231165804385,bayes
1,0.010288476943969727,0.0009489059448242188,0.9243456884380218,-0.15526764978266555,bayes
2,0.0102081298828125,0.0009746551513671875,0.8827680502969213,-0.166087415318858,bayes
3,0.01062774658203125,0.0008842945098876953,0.9346432745352955,-0.13595997463384973,bayes
4,0.010309219360351562,0.0009281635284423828,0.8571581763027816,-0.1692765405435206,bayes
5,0.010683059692382812,0.0009262561798095703,0.9424232840482482,-0.12649779896238678,bayes
6,0.012868642807006836,0.0009663105010986328,0.9123055795646622,-0.15180830460333447,bayes
7,0.010989904403686523,0.0009279251098632812,0.9078559820828227,-0.1628738585071747,bayes
8,0.010990142822265625,0.0009210109710693359,0.9241634994787273,-0.139446281509007,bayes
9,0.010457754135131836,0.0009286403656005859,0.9135646866967478,-0.1542538923545205,bayes
