,TrainPerScore,TestPerScore,CVPerScore,TrainNegRMSErr,TestNegRMSErr,CVNegRMSErr,TrainNegMAErr,TestNegMAErr,CVNegMAErr
0.15,94.9990569702,89.413529598,90.5103860553,-433.370847469,-771.989461999,-669.90798877,-141.990103646,-652.007965917,-254.298861089
0.194736842105,96.62456364,89.1047121956,92.599664183,-255.256646622,-815.790833438,-376.536408056,-87.0995400449,-668.770398163,-144.156281411
0.239473684211,97.344392784,88.7604610128,94.2280086433,-267.526383094,-793.135856034,-381.583682885,-74.8408626003,-669.231387959,-127.464880231
0.284210526316,98.0583050388,88.4530796492,95.9411064911,-199.931572909,-767.54759648,-289.344608549,-58.8778157681,-658.867239245,-95.251188768
0.328947368421,98.2218522473,88.3440258199,96.8143464706,-165.649141308,-765.279031641,-236.524262,-54.4503405364,-663.221954498,-80.1019820168
0.373684210526,98.2626142549,88.3304462142,96.7122395173,-230.306554434,-747.714963404,-310.043966792,-55.5881668539,-658.013192134,-84.3684800193
0.418421052632,98.3619005672,88.4049388389,96.8235808111,-192.221581292,-745.176874176,-303.942269044,-49.5335913473,-655.145783526,-79.6495216494
0.463157894737,98.5140630205,88.2078089052,97.5051753467,-179.770917645,-748.700927236,-262.342661103,-46.8505475818,-658.516873413,-71.4000532518
0.507894736842,98.3388906448,88.0710777857,97.8324712911,-196.048822295,-757.081383528,-251.402271154,-46.5033204553,-666.768764963,-62.0285667876
0.552631578947,98.3295680454,88.1548218421,97.9038350914,-171.205912282,-755.29823605,-233.891652112,-45.7488139371,-666.015420746,-61.3681113069
0.597368421053,98.338553758,88.0109905475,97.7675828421,-164.770461304,-755.834870126,-235.602287805,-43.7079145871,-666.221803706,-58.239986531
0.642105263158,98.5640427966,87.8957671902,98.0872586716,-160.324497137,-758.19273938,-288.478599502,-42.3076202109,-669.536252116,-60.5431532065
0.686842105263,98.518305126,87.9673990378,98.034877517,-102.764098242,-758.786540663,-168.847707715,-36.7298117958,-670.883770203,-52.7699496654
0.731578947368,98.6378642072,87.9052488219,98.1548081277,-145.497599785,-757.494037313,-182.981044228,-36.2230796194,-668.581139156,-48.037463307
0.776315789474,98.5543748203,87.8728062882,98.1389025014,-126.180170159,-760.023837827,-189.652485382,-36.0634258386,-670.656900248,-50.0432337181
0.821052631579,98.6285705863,87.8442818405,98.1643070704,-119.471046894,-766.295085496,-191.890218377,-34.5439198115,-674.226388149,-48.1856898834
0.865789473684,98.7532418951,87.7897464841,98.4128647204,-114.127657924,-767.203296101,-177.030421229,-33.3098776336,-675.077096528,-44.3763057031
0.910526315789,98.7486615366,87.8025726219,98.1400491746,-134.157811184,-765.167646358,-197.006956583,-33.6373661844,-673.632376795,-45.4052238318
0.955263157895,98.7411911157,87.756380271,98.2985034979,-111.028625739,-768.44563158,-162.951993331,-31.904856413,-677.23300849,-42.2375168239
1.0,98.7622634013,87.7239430031,98.3387898523,-108.73099794,-769.972381506,-163.269387345,-31.0865377329,-678.466601268,-41.7838861017
