,r2_LC-Train,r2_LC-CV,neg_mean_absolute_error_LC-Train,neg_mean_absolute_error_LC-CV,neg_mean_squared_error_LC-Train,neg_mean_squared_error_LC-CV
0.15,1.0,0.983245272611,0.0,-290.017521272,0.0,-364581.91092
0.194736842105,1.0,0.98508340833,0.0,-256.682359307,0.0,-322240.662972
0.239473684211,1.0,0.986028240104,0.0,-247.85964323,0.0,-301086.952903
0.284210526316,1.0,0.986055845757,0.0,-240.733747574,0.0,-300225.722682
0.328947368421,1.0,0.988487015853,0.0,-191.626567398,0.0,-245068.059972
0.373684210526,1.0,0.98937253504,0.0,-175.000205255,0.0,-226297.47481
0.418421052632,1.0,0.989339647064,0.0,-175.817398119,0.0,-227073.808031
0.463157894737,1.0,0.990269726943,0.0,-155.752742947,0.0,-208012.385617
0.507894736842,1.0,0.990750438427,0.0,-145.117592178,0.0,-198520.924765
0.552631578947,1.0,0.990720398671,0.0,-146.009833557,0.0,-199136.571317
0.597368421053,1.0,0.990729407177,0.0,-145.712419764,0.0,-198931.355799
0.642105263158,1.0,0.990588706323,0.0,-148.99813405,0.0,-201198.498657
0.686842105263,1.0,0.990689142212,0.0,-146.386830124,0.0,-198808.277168
0.731578947368,1.0,0.995887582896,0.0,-72.7677825049,0.0,-89507.8442678
0.776315789474,1.0,0.998766797881,0.0,-33.1003507986,0.0,-26352.8041499
0.821052631579,1.0,0.999004863671,0.0,-26.4921816689,0.0,-20021.1943947
0.865789473684,1.0,0.999013872177,0.0,-26.1947678758,0.0,-19815.9788774
0.910526315789,1.0,0.999023747074,0.0,-25.8960665771,0.0,-19609.8749813
0.955263157895,1.0,0.999237531649,0.0,-20.8311315122,0.0,-16274.0308255
1.0,1.0,0.999237531649,0.0,-20.8311315122,0.0,-16274.0308255
