,TrainPerScore,TestPerScore,CVPerScore,TrainNegRMSErr,TestNegRMSErr,CVNegRMSErr,TrainNegMAErr,TestNegMAErr,CVNegMAErr
0.15,99.9341439569,84.5999076117,99.8684571609,-3.91360838095,-1040.87381552,-7.85230558599,-3.05999771561,-848.296258465,-5.52814745291
0.194736842105,99.9479932572,84.521897608,99.8987441991,-3.28208507938,-1043.23581367,-6.32243215672,-2.45676674432,-850.514954587,-4.27704477946
0.239473684211,99.9515945655,84.5322203128,99.9215671395,-2.89480663497,-1043.0147812,-5.16080044909,-2.21000282918,-850.389521275,-3.44083568546
0.284210526316,99.9526279894,84.4992312268,99.9168631637,-2.7173814158,-1043.82438209,-4.59098073259,-2.0378203457,-851.03122341,-3.1354482527
0.328947368421,99.9545383694,84.4769257663,99.9294863346,-2.4405516316,-1044.63996989,-3.9540673511,-1.85718649492,-851.667907353,-2.70565065596
0.373684210526,99.9558526128,84.4610741226,99.935448586,-2.37595498405,-1045.22394402,-3.34490511481,-1.80592535192,-852.1224131,-2.44853091244
0.418421052632,99.9599339295,84.4308153488,99.9443754225,-2.2296730072,-1045.71801178,-3.04422857589,-1.6903128766,-852.857307049,-2.28311971326
0.463157894737,99.9634130821,84.413353638,99.9478411457,-2.05141023257,-1046.34830295,-2.79499075112,-1.54738301224,-853.342277626,-2.07383970388
0.507894736842,99.9633498897,84.3955702696,99.9512800134,-1.9882798924,-1046.92879684,-2.61467816682,-1.50586614996,-853.814805962,-1.96303756867
0.552631578947,99.9659362705,84.3867363462,99.9499972696,-1.91326294298,-1047.41898891,-2.79683388948,-1.42878377297,-854.152806774,-1.88390515707
0.597368421053,99.966475815,84.3822597624,99.9549037514,-1.81589631507,-1047.52458579,-2.47213469134,-1.36957676321,-854.198076024,-1.78537359156
0.642105263158,99.9699405031,84.3583073482,99.9605441096,-1.7183919661,-1048.28266545,-2.20730196025,-1.29025329229,-854.901266334,-1.63922760625
0.686842105263,99.9698420636,84.3546489375,99.9624270753,-1.66955829346,-1048.44355411,-2.09967100659,-1.25835619949,-854.98107736,-1.56880226695
0.731578947368,99.9704105003,84.3549029203,99.9624292818,-1.62400890443,-1048.3853945,-2.04957269001,-1.22465792223,-854.971310326,-1.52896900018
0.776315789474,99.9710566907,84.3468020202,99.9628210345,-1.58094513252,-1048.79444917,-2.05479057518,-1.18874453947,-855.224126618,-1.4919785427
0.821052631579,99.9724330415,84.3328857934,99.9659825252,-1.53307436293,-1049.2111368,-1.86686274973,-1.15403062079,-855.603354272,-1.40682103795
0.865789473684,99.9726244357,84.3316070076,99.966561441,-1.48858237441,-1049.19494316,-1.80875514808,-1.12604320109,-855.618257111,-1.37025757001
0.910526315789,99.9738851969,84.3287112928,99.9680065692,-1.44706766238,-1049.35293583,-1.76048563405,-1.09029643339,-855.717532677,-1.3186156891
0.955263157895,99.9743215747,84.3224311165,99.9684533793,-1.4076870489,-1049.57933585,-1.7195641925,-1.06056511864,-855.889414379,-1.2898320435
1.0,99.975137864,84.3190451162,99.9697039645,-1.37195296746,-1049.65961115,-1.66261628771,-1.02953197974,-855.972387056,-1.24763194496
