,L1NN,L2NN,RIDGE
0.0,2.32742666146,4.80444318366,0.616474425497
0.25,3.11408168065,30.647662763,68.3352132554
0.5,3.38573397297,88.8230262567,187.699666215
0.75,3.94516498389,109.938385301,272.9314445
1.0,4.41431359606,145.061462957,465.764690842
1.25,5.33213094136,129.88423533,647.7709089
1.5,6.16648126664,150.098549303,851.011076848
1.75,7.11426560229,166.924394773,1026.77534617
2.0,7.60597671805,159.823061699,1241.70453097
2.25,9.41533955212,175.321796046,1647.20197448
2.5,10.4988645006,172.825613959,1848.96711008
2.75,11.1462575936,176.184175194,2086.81631598
3.0,12.6231935133,183.452760314,2464.53370482
3.25,14.5827089374,193.63974246,3030.4596124
3.5,16.0470640534,197.895384984,3308.52344628
3.75,16.8679279504,188.70295069,3561.13386046
4.0,18.5769074812,192.300091859,3938.13819564
4.25,20.1013068322,198.238553008,4240.2177697
4.5,22.4049569673,200.384584004,4515.95154164
4.75,23.04655962,205.434119862,4989.82697007
5.0,23.586874439,204.435244307,5130.44841917
5.25,25.9358996284,200.201341482,5381.76636484
5.5,27.7005592994,187.88118407,5693.4577001
5.75,27.5362446348,191.357020494,6199.93719751
6.0,27.6451973775,202.377047527,6302.18438221
6.25,28.7280028125,220.325633056,6909.77658673
6.5,27.0018426357,218.954414326,7614.78453947
6.75,29.8566001726,218.711722996,7926.55359564
7.0,28.8109243429,223.01689034,8750.06560992
7.25,28.0311047646,228.8232375,9737.12559928
7.5,30.5602426624,226.355725509,9797.6819213
7.75,34.2201076742,242.341378857,9907.87310155
8.0,36.9317981665,248.463739096,10300.867734
8.25,37.3412021294,251.55092363,9741.97329135
8.5,38.6927595339,239.503290667,9908.24495378
8.75,37.4108090618,244.886066655,10179.4454335
9.0,35.7644844123,245.279913875,10724.7429414
9.25,35.5948397747,247.5589552,10284.3013516
9.5,39.3087487785,239.438392583,10990.1900983
9.75,43.9083293207,238.847002593,10847.1649132
10.0,44.7507869172,249.480457803,10945.62498
