,L1NN,L2NN,RIDGE
0.0,0.847826086957,0.70652173913,0.902173913043
0.25,0.662391304348,0.436304347826,0.358260869565
0.5,0.610434782609,0.344347826087,0.371956521739
0.75,0.565,0.302391304348,0.363260869565
1.0,0.527173913043,0.254347826087,0.373260869565
1.25,0.519565217391,0.298260869565,0.346086956522
1.5,0.504782608696,0.326086956522,0.314565217391
1.75,0.481739130435,0.347608695652,0.316956521739
2.0,0.477391304348,0.381304347826,0.295434782609
2.25,0.432826086957,0.351739130435,0.299130434783
2.5,0.423043478261,0.313043478261,0.329565217391
2.75,0.393043478261,0.281956521739,0.331086956522
3.0,0.397608695652,0.302391304348,0.330869565217
3.25,0.383913043478,0.316956521739,0.328695652174
3.5,0.407173913043,0.329782608696,0.350217391304
3.75,0.382826086957,0.343695652174,0.34
4.0,0.404130434783,0.358913043478,0.325652173913
4.25,0.381304347826,0.338043478261,0.298695652174
4.5,0.394782608696,0.349130434783,0.281086956522
4.75,0.367173913043,0.334347826087,0.299130434783
5.0,0.363260869565,0.332173913043,0.314565217391
5.25,0.347826086957,0.315217391304,0.323913043478
5.5,0.346739130435,0.33152173913,0.302826086957
5.75,0.335434782609,0.335869565217,0.315652173913
6.0,0.335869565217,0.33,0.349347826087
6.25,0.330217391304,0.319130434783,0.338043478261
6.5,0.324565217391,0.323043478261,0.31652173913
6.75,0.336739130435,0.322608695652,0.350217391304
7.0,0.311739130435,0.310217391304,0.364565217391
7.25,0.335434782609,0.305217391304,0.374347826087
7.5,0.355434782609,0.320217391304,0.345652173913
7.75,0.335217391304,0.312391304348,0.358260869565
8.0,0.319130434783,0.304130434783,0.36347826087
8.25,0.319565217391,0.284347826087,0.38
8.5,0.339347826087,0.318260869565,0.373913043478
8.75,0.334130434783,0.308260869565,0.381086956522
9.0,0.329130434783,0.316086956522,0.386304347826
9.25,0.304782608696,0.304347826087,0.381956521739
9.5,0.341304347826,0.312173913043,0.395652173913
9.75,0.327173913043,0.307608695652,0.39347826087
10.0,0.303043478261,0.288695652174,0.38347826087
