,fit_time,score_time,test_accuracy,algorithm
0,0.005568742752075195,0.004139423370361328,0.9747474747474747,knn
1,0.004980802536010742,0.004032135009765625,0.9696969696969697,knn
2,0.004971981048583984,0.004029512405395508,0.9796954314720813,knn
3,0.004957675933837891,0.004014492034912109,0.9898477157360406,knn
4,0.004935741424560547,0.00399470329284668,0.9847715736040609,knn
5,0.005005598068237305,0.004148721694946289,0.9949238578680203,knn
6,0.005001544952392578,0.003981590270996094,0.9948979591836735,knn
7,0.0050008296966552734,0.004030704498291016,0.9948979591836735,knn
8,0.004948139190673828,0.00395655632019043,0.9794871794871794,knn
9,0.004956960678100586,0.004105091094970703,0.9743589743589743,knn
0,0.012450218200683594,0.0008606910705566406,0.9696969696969697,rr
1,0.018845081329345703,0.0008263587951660156,0.9797979797979798,rr
2,0.018856287002563477,0.0008294582366943359,0.9746192893401016,rr
3,0.018807411193847656,0.001237630844116211,0.9746192893401016,rr
4,0.01847553253173828,0.0008332729339599609,0.9949238578680203,rr
5,0.0175933837890625,0.0008351802825927734,0.9796954314720813,rr
6,0.01756453514099121,0.0008149147033691406,0.9795918367346939,rr
7,0.015845775604248047,0.0008387565612792969,0.9642857142857143,rr
8,0.017752647399902344,0.00083160400390625,0.9692307692307692,rr
9,0.017708301544189453,0.00081634521484375,0.9692307692307692,rr
0,0.17967510223388672,0.005821943283081055,0.9848484848484849,svr
1,0.14141154289245605,0.005820035934448242,0.9848484848484849,svr
2,0.15007472038269043,0.0055315494537353516,0.9746192893401016,svr
3,0.1662430763244629,0.0057218074798583984,0.9796954314720813,svr
4,0.1570146083831787,0.005503654479980469,0.9644670050761421,svr
5,0.15866994857788086,0.0058100223541259766,0.9847715736040609,svr
6,0.1505448818206787,0.005740165710449219,0.9795918367346939,svr
7,0.157440185546875,0.005697011947631836,0.9693877551020408,svr
8,0.1455833911895752,0.005550384521484375,0.9846153846153847,svr
9,0.13490986824035645,0.0054931640625,0.9794871794871794,svr
