TrainSizeFrac,AbsTrainSize,TrainScore,CV-Score,Algorithm
0.1,925,0.9965405405405405,0.9274812925306005,knn
0.2,1851,0.9968125337655322,0.9608280694277604,knn
0.3,2776,0.996649855907781,0.9704510547153573,knn
0.4,3702,0.9968665586169637,0.975213437286526,knn
0.5,4628,0.9968236819360415,0.9805605143937692,knn
0.55,5090,0.996581532416503,0.9818224632615017,knn
0.6,5553,0.9965784260759951,0.9826000131023698,knn
0.65,6016,0.9966090425531915,0.9837665725495673,knn
0.7,6479,0.9964809384164223,0.9847387690872497,knn
0.75,6942,0.9963267070008642,0.9861957416915839,knn
0.8,7404,0.9965289032955159,0.9878480223689039,knn
0.85,7867,0.9964154061268591,0.9876532815039238,knn
0.9,8330,0.9962064825930371,0.9882362775317386,knn
0.95,8793,0.9962583873535766,0.9881389069159532,knn
1.0,9256,0.9963807260155575,0.9888194631792203,knn
0.1,925,0.9910270270270269,0.9909594442653947,rr
0.2,1851,0.9906537007023231,0.990863017896868,rr
0.3,2776,0.9917507204610951,0.9922229974737558,rr
0.4,3702,0.9921663965424095,0.992612291418072,rr
0.5,4628,0.9925669835782195,0.9930011130557306,rr
0.55,5090,0.9924950884086442,0.9929037422563824,rr
0.6,5553,0.9928327030434,0.9927099447213825,rr
0.65,6016,0.9930518617021278,0.9928070321000233,rr
0.7,6479,0.9927766630652879,0.9925153923757621,rr
0.75,6942,0.9929703255545952,0.9926126686403537,rr
0.8,7404,0.9930713128038897,0.9929045917853221,rr
0.85,7867,0.993059616117961,0.9930988608937975,rr
0.9,8330,0.9930012004801922,0.9930016791639629,rr
0.95,8793,0.9928807005572615,0.9930989554285542,rr
1.0,9256,0.9930315471045809,0.9930016791639629,rr
0.1,925,0.9806486486486486,0.975893899197531,svr
0.2,1851,0.9851971907077257,0.9817247168908676,svr
0.3,2776,0.9874279538904901,0.9840571744090919,svr
0.4,3702,0.989222042139384,0.9865844697112307,svr
0.5,4628,0.9903846153846155,0.9881397566284555,svr
0.55,5090,0.9909233791748526,0.9884306419086872,svr
0.6,5553,0.9913019989195032,0.9888194633627834,svr
0.65,6016,0.9915226063829788,0.9892083793516356,svr
0.7,6479,0.991572773576169,0.9895972955240507,svr
0.75,6942,0.9917026793431288,0.9900833937928917,svr
0.8,7404,0.9916396542409508,0.9900833937928919,svr
0.85,7867,0.9918393288419981,0.9901806700574831,svr
0.9,8330,0.9921128451380552,0.9908610376183624,svr
0.95,8793,0.9922210849539406,0.9908610376183624,svr
1.0,9256,0.9921564390665514,0.9911528664121366,svr
