TrainSizeFrac,AbsTrainSize,TrainScore,CV-Score,Algorithm
0.1,925,1.0,0.9996896857073571,knn
0.2,1851,1.0,0.9999353195550391,knn
0.3,2777,1.0,0.9999807236354267,knn
0.4,3703,1.0,0.9999896723532625,knn
0.5,4629,1.0,0.999993882798757,knn
0.55,5091,1.0,0.9999970147003865,knn
0.6,5554,1.0,0.9999972493857234,knn
0.65,6017,1.0,0.9999974212596413,knn
0.7,6480,1.0,0.9999975920294494,knn
0.75,6943,1.0,0.9999988554070534,knn
0.8,7406,1.0,0.9999990979541458,knn
0.85,7869,1.0,0.9999994785533607,knn
0.9,8332,1.0,0.9999995877651573,knn
0.95,8795,1.0,0.9999996881721793,knn
1.0,9258,1.0,0.999999780177256,knn
0.1,925,0.9999999804147844,0.9999999776949915,rr
0.2,1851,0.9999999807199467,0.9999999795147347,rr
0.3,2777,0.9999999810733986,0.9999999799928736,rr
0.4,3703,0.9999999809286766,0.9999999802124803,rr
0.5,4629,0.9999999810141457,0.9999999803308895,rr
0.55,5091,0.9999999810271827,0.9999999803516231,rr
0.6,5554,0.999999980997521,0.9999999804154072,rr
0.65,6017,0.9999999809607345,0.9999999804225844,rr
0.7,6480,0.9999999809105529,0.9999999804464507,rr
0.75,6943,0.9999999808796007,0.9999999804434889,rr
0.8,7406,0.9999999808000535,0.9999999804541743,rr
0.85,7869,0.9999999807397287,0.9999999804649476,rr
0.9,8332,0.9999999807663297,0.999999980473955,rr
0.95,8795,0.99999998079913,0.9999999804851466,rr
1.0,9258,0.9999999807780495,0.9999999804767125,rr
0.1,925,0.9439259363489452,0.9450771871573351,svr
0.2,1851,0.9770715786588349,0.9762913053950053,svr
0.3,2777,0.9899896911662243,0.989519990334613,svr
0.4,3703,0.9945286726439733,0.9943042608553346,svr
0.5,4629,0.9963084000464489,0.996039788964208,svr
0.55,5091,0.9968165742088058,0.9966109614888691,svr
0.6,5554,0.9972859709811873,0.9971075328838677,svr
0.65,6017,0.9976124435305908,0.9974663765755049,svr
0.7,6480,0.9978861507387113,0.997787107626116,svr
0.75,6943,0.9981262808680311,0.998015139324783,svr
0.8,7406,0.9983141949678878,0.9982182345861587,svr
0.85,7869,0.9984866747646391,0.9984044398898375,svr
0.9,8332,0.9986365666242685,0.9985543398240843,svr
0.95,8795,0.9987545464581558,0.9986913010183244,svr
1.0,9258,0.9988644694236948,0.9988206396197559,svr
