,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,algorithm
0,0.7443513870239258,0.8516325950622559,0.9593660529391369,-0.12333197058833555,knn
1,0.4587368965148926,0.9242458343505859,0.9523425842308679,-0.12830079390535687,knn
2,0.49355626106262207,0.8289966583251953,0.963842567803945,-0.11559067403386762,knn
3,0.47972631454467773,1.0788676738739014,0.949750732436817,-0.14190636155080263,knn
4,0.4564781188964844,0.9473376274108887,0.9560189473932689,-0.12513637977686604,knn
5,0.4613320827484131,0.9738905429840088,0.9530006304270222,-0.13270974262839666,knn
6,0.36841392517089844,0.8363511562347412,0.9577504829941326,-0.12290840453816344,knn
7,0.5390665531158447,1.1220729351043701,0.9483726398866427,-0.13407430359754108,knn
8,0.5454177856445312,1.1343252658843994,0.9556484545225479,-0.1222315421592672,knn
9,0.4536738395690918,0.9108409881591797,0.9575330775117369,-0.13054747263726948,knn
0,0.05545854568481445,0.0017049312591552734,0.9289010834064074,-0.2521134784832116,rr
1,0.04121518135070801,0.008334636688232422,0.9210997308618137,-0.2606245094299465,rr
2,0.046996116638183594,0.0016481876373291016,0.9218578048063728,-0.2547674774620189,rr
3,0.05680394172668457,0.004332542419433594,0.9256507770613491,-0.25697938257347896,rr
4,0.05501270294189453,0.0019321441650390625,0.9256801116110058,-0.2488496452327228,rr
5,0.03793478012084961,0.011954307556152344,0.9117495122396049,-0.2751810973499516,rr
6,0.04345250129699707,0.0071506500244140625,0.9258015465020416,-0.2520217834837032,rr
7,0.03949570655822754,0.0066988468170166016,0.9268437602860728,-0.2548592332213268,rr
8,0.04041647911071777,0.0068206787109375,0.9304574253432789,-0.24382068961698633,rr
9,0.05395174026489258,0.01246500015258789,0.9262785766237137,-0.2455146059938338,rr
0,133.16333484649658,0.5046186447143555,0.9897522100431968,-0.0817522559884317,svr
1,100.5185899734497,0.7347776889801025,0.9838773738775604,-0.09382601344221174,svr
2,108.32542133331299,0.5642921924591064,0.9839579360471583,-0.09262001413604018,svr
3,98.59980893135071,1.6616942882537842,0.989697286913677,-0.0849440607820226,svr
4,99.75037789344788,0.5214688777923584,0.9844042692449956,-0.09023427176099279,svr
5,108.70913910865784,0.5142192840576172,0.9809546016771038,-0.09534641228565673,svr
6,103.09756898880005,0.5998616218566895,0.9770580385286883,-0.09379639841550659,svr
7,94.91706132888794,0.5285623073577881,0.9869811681525333,-0.0835547891310021,svr
8,103.3069498538971,0.5915839672088623,0.9769342718105681,-0.09655510250040977,svr
9,93.3427062034607,0.5141818523406982,0.9905353004394603,-0.08245518707704289,svr
