,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,algorithm
0,0.0033884048461914062,0.012032270431518555,0.9999731501211963,-8.019409056773076,knn
1,0.003313302993774414,0.011503219604492188,0.9999564370747298,-7.939544755719891,knn
2,0.003335714340209961,0.011703729629516602,0.999966605714987,-7.611161762017736,knn
3,0.003286600112915039,0.011838436126708984,0.9999741180300612,-7.21452671372405,knn
4,0.003223896026611328,0.011794328689575195,0.99992630844139,-14.549558908070246,knn
5,0.003299713134765625,0.012101888656616211,0.9999642944210709,-8.952724029064893,knn
6,0.0032494068145751953,0.011894941329956055,0.9999594813486288,-9.69651878932957,knn
7,0.0032591819763183594,0.011603832244873047,0.9999513900774464,-9.454477339937156,knn
8,0.003269195556640625,0.012014627456665039,0.9999313068064672,-12.75278535115645,knn
9,0.003244161605834961,0.012089014053344727,0.9999508548403294,-11.421273469002275,knn
0,0.002851724624633789,0.0011107921600341797,0.9999999849342659,-0.44046475113409406,rr
1,0.0036907196044921875,0.0011246204376220703,0.9999999886650711,-0.41357291643154737,rr
2,0.0036470890045166016,0.0010859966278076172,0.9999999841789823,-0.41922962640239053,rr
3,0.0036132335662841797,0.001093149185180664,0.9999999860104805,-0.4336565597498654,rr
4,0.003644704818725586,0.0011036396026611328,0.9999999896028493,-0.41180134620887615,rr
5,0.003735780715942383,0.0010833740234375,0.9999999870856142,-0.42095462105956166,rr
6,0.0036122798919677734,0.0011131763458251953,0.9999999865382766,-0.45494831247675643,rr
7,0.0036361217498779297,0.0011012554168701172,0.9999999845813796,-0.4651950656548043,rr
8,0.0036613941192626953,0.0010988712310791016,0.9999999868452135,-0.42258436860925264,rr
9,0.0036017894744873047,0.0011174678802490234,0.9999999862440927,-0.4302770933989274,rr
0,0.7993032932281494,0.07294702529907227,0.9997489544348127,-30.209761012492063,svr
1,0.8005731105804443,0.07340145111083984,0.9995837693196591,-37.52918374179693,svr
2,0.7976160049438477,0.07250714302062988,0.9996596252587763,-26.04061298795696,svr
3,0.7486956119537354,0.0731973648071289,0.999664692985112,-38.24564534794498,svr
4,0.7213220596313477,0.07319307327270508,0.9997972367828873,-29.531124986284738,svr
5,0.7730097770690918,0.07309508323669434,0.9995424191971629,-37.40374844791693,svr
6,0.7472057342529297,0.07330179214477539,0.9993022517069886,-49.583366734877025,svr
7,0.7550015449523926,0.07350301742553711,0.9997068950088029,-35.34856256713238,svr
8,0.7583973407745361,0.07332038879394531,0.999721847846083,-37.69479081956781,svr
9,0.7466819286346436,0.07248663902282715,0.9995681120294148,-37.50645104826912,svr
