,fit_time,score_time,test_accuracy,algorithm
0,0.12911033630371094,0.0946357250213623,0.996938775510204,knn
1,0.12188124656677246,0.09706783294677734,0.9959141981613892,knn
2,0.1237025260925293,0.0969395637512207,0.9979550102249489,knn
3,0.11825108528137207,0.10116195678710938,0.9938650306748467,knn
4,0.11818480491638184,0.09556388854980469,0.9979550102249489,knn
5,0.11825299263000488,0.09431886672973633,0.9969325153374233,knn
6,0.12207865715026855,0.09579753875732422,0.9938587512794268,knn
7,0.11852765083312988,0.09646940231323242,0.9979529170931423,knn
8,0.11823272705078125,0.1005699634552002,0.9948822927328557,knn
9,0.11873769760131836,0.09275174140930176,0.9938587512794268,knn
0,0.04736590385437012,0.001207590103149414,0.9306122448979591,rr
1,0.05438733100891113,0.0012710094451904297,0.9356486210418795,rr
2,0.08350801467895508,0.0018389225006103516,0.9243353783231084,rr
3,0.09096527099609375,0.0020401477813720703,0.9192229038854806,rr
4,0.08827686309814453,0.001956939697265625,0.9274028629856851,rr
5,0.08789587020874023,0.0019724369049072266,0.9325153374233128,rr
6,0.08753180503845215,0.0020089149475097656,0.9375639713408394,rr
7,0.08732008934020996,0.0019161701202392578,0.9303991811668373,rr
8,0.08737397193908691,0.001967191696166992,0.9365404298874105,rr
9,0.09027838706970215,0.0018398761749267578,0.9385875127942682,rr
0,0.4522981643676758,0.02691960334777832,0.996938775510204,svr
1,0.420285701751709,0.030455350875854492,0.9938712972420838,svr
2,0.43462443351745605,0.02629399299621582,0.9979550102249489,svr
3,0.42737245559692383,0.027133703231811523,0.9918200408997955,svr
4,0.4730367660522461,0.02693462371826172,0.9918200408997955,svr
5,0.41642236709594727,0.02708888053894043,0.9928425357873211,svr
6,0.4186365604400635,0.026918888092041016,0.9887410440122825,svr
7,0.42676639556884766,0.027734041213989258,0.9948822927328557,svr
8,0.44219326972961426,0.028373003005981445,0.9969293756397134,svr
9,0.4158327579498291,0.02737879753112793,0.9887410440122825,svr
