,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.1860342025756836,0.535149335861206,0.9520244268205711,-0.13669575502292683,-0.09105077034729665,0.9519105306343808,-0.30174620187716805,knn
1,0.16553044319152832,0.523442268371582,0.9492716653157797,-0.13363660112860348,-0.09583586403987741,0.9488239713554661,-0.30957368111626904,knn
2,0.15648317337036133,0.5268566608428955,0.9565495859082312,-0.13264564969749626,-0.07967194691174956,0.9563974912849198,-0.28226219532865104,knn
3,0.1720435619354248,0.4688136577606201,0.9581327103339667,-0.1316679060820514,-0.07962469093193371,0.9581188874946718,-0.2821784735445525,knn
4,0.1382451057434082,0.5023179054260254,0.946943720590214,-0.1462018972027274,-0.09947196163927753,0.9463655149324958,-0.3153917589907471,knn
5,0.15499353408813477,0.5194401741027832,0.9465376754504493,-0.1388990465976935,-0.09593833437446811,0.9462868571370852,-0.30973913923569313,knn
6,0.1519765853881836,0.4950294494628906,0.9506081544128233,-0.14365386889619636,-0.09201371845371281,0.950263189642453,-0.303337631120362,knn
7,0.18436670303344727,0.6277523040771484,0.9552197403794894,-0.13432866848510344,-0.08070201388142383,0.95506849363717,-0.2840809988039042,knn
8,0.2224433422088623,0.6364696025848389,0.9370457171156817,-0.1560568805103846,-0.11598064640821987,0.936045704340235,-0.3405593140823194,knn
9,0.12161660194396973,0.40833258628845215,0.9450881549783542,-0.14807171086105894,-0.10002015308446012,0.9442695123333569,-0.3162596292359493,knn
0,0.00881814956665039,0.0017547607421875,0.6665907265767916,-0.6057754404374676,-0.6189810348209388,0.6661867358460669,-0.7867534777939903,rr
1,0.011457681655883789,0.0018763542175292969,0.6813284290916117,-0.6004742662488448,-0.6081900650634545,0.6812641526517047,-0.7798654147117017,rr
2,0.011455059051513672,0.0018906593322753906,0.7049926942606801,-0.5627383430962727,-0.5340252485061792,0.7047017452838065,-0.7307703117301491,rr
3,0.011403322219848633,0.0018842220306396484,0.6687224220442305,-0.5903197423611599,-0.6026907392159746,0.6686614369914996,-0.7763315910202125,rr
4,0.011382102966308594,0.0018553733825683594,0.69861769163657,-0.5792404629814295,-0.5713447406744916,0.6982666466847349,-0.7558734951527879,rr
5,0.011306524276733398,0.0018286705017089844,0.6798962616669588,-0.5768129589983197,-0.5862462898088817,0.6798374219055018,-0.765667218711159,rr
6,0.011446952819824219,0.0018773078918457031,0.6853676486646603,-0.587786094747054,-0.5827289680855489,0.6852289123064108,-0.7633668633661989,rr
7,0.01135873794555664,0.0018835067749023438,0.6749154066818206,-0.580624337866054,-0.583659593307194,0.6747956910081263,-0.7639761732588223,rr
8,0.011498689651489258,0.001821279525756836,0.6891906585626413,-0.5600264977035898,-0.5482568369862104,0.6891406330783216,-0.7404436757689341,rr
9,0.011328935623168945,0.0018417835235595703,0.6808857259687346,-0.5871322515556027,-0.5963935684362582,0.6806648671515596,-0.7722652189735455,rr
0,51.66480898857117,1.5637290477752686,0.9206283965773974,-0.2428821018540535,-0.1488194125342555,0.920557201809014,-0.3857711919444679,svr
1,53.70128083229065,1.7294139862060547,0.915466502781909,-0.25391391815268105,-0.155840885314516,0.9154633254635491,-0.3947668746418777,svr
2,51.093026638031006,1.6649675369262695,0.9178826418170868,-0.24681859067972406,-0.15247003031500503,0.9178662652726065,-0.3904741096603013,svr
3,47.50992822647095,1.535309076309204,0.9254735533568653,-0.23472103392826996,-0.13919774441681187,0.9254665223116687,-0.37309213931254553,svr
4,49.236140727996826,1.5286028385162354,0.9223078759276863,-0.2437253206511176,-0.14790754838054987,0.922261415331947,-0.3845875041918937,svr
5,46.5655620098114,1.5199103355407715,0.927237182443128,-0.2308057083872356,-0.13264570386126115,0.9272339796780773,-0.3642055791188009,svr
6,47.13748502731323,1.5683698654174805,0.9201563946328486,-0.24146043332877534,-0.14306978260631956,0.9198995212911557,-0.37824566435891843,svr
7,48.32478666305542,1.5198183059692383,0.9257528744145922,-0.23251055312821314,-0.13527483956689723,0.9256439422747971,-0.36779728053222094,svr
8,44.66437816619873,1.5194096565246582,0.9007415464047193,-0.26011403571507147,-0.1788813615893902,0.9007408863776586,-0.4229436860734419,svr
9,50.628459215164185,1.5446958541870117,0.9070346002134382,-0.26793239908660693,-0.17095592501966614,0.9054638674394496,-0.41346816687583837,svr
