,L1NN,L2NN,RIDGE
0.0,2.84083921911,4.43469963145,0.439812935861
0.25,3.44932024262,27.0116814607,60.2645059182
0.5,3.68714492475,64.0561823341,151.707865302
0.75,4.22627507189,123.529899083,334.358747025
1.0,4.20894680927,158.999021946,591.648642964
1.25,4.98594972341,170.489751426,812.313936332
1.5,5.5158583601,177.563173432,1096.80501562
1.75,6.59964750881,198.766235646,1212.52864487
2.0,7.35711110175,195.430089905,1472.33387742
2.25,8.39961419259,200.718432692,1479.2880242
2.5,9.81648647231,181.303230981,1636.40460361
2.75,11.5204423075,189.079671758,1950.39760431
3.0,13.8072742045,193.745117087,2185.84626421
3.25,13.8704625382,192.550431305,2453.53894093
3.5,15.5172314957,216.681230096,2574.19161543
3.75,17.3482323094,213.998141625,3026.68654664
4.0,18.3353771608,224.695429596,3126.45165921
4.25,20.4079959618,239.161823898,3684.92047043
4.5,22.1713568174,226.031749759,4457.81431691
4.75,22.4905857963,226.302919378,4785.76085823
5.0,23.2400879139,239.301253892,4918.05135842
5.25,24.9469428626,249.843262731,5361.69740801
5.5,26.5010732607,237.786510766,6018.68263417
5.75,28.8476484501,241.350303848,6510.50281861
6.0,28.9772185478,245.999175501,7196.1709777
6.25,27.8570712656,236.114094132,7845.31497323
6.5,26.0536419157,240.441410905,8074.02728051
6.75,28.4123325044,235.235721671,8648.99989466
7.0,28.9388610787,232.323222214,8536.79523214
7.25,29.5285559075,228.397581317,8700.01086082
7.5,29.7961407435,238.035842117,9170.69366965
7.75,31.3184809218,236.232018924,10112.2192289
8.0,31.8632831842,240.991470422,10273.2852084
8.25,33.5460226366,240.949127199,10446.0356519
8.5,33.9735835702,243.85721535,10956.7329998
8.75,34.537276305,241.631457796,12329.6656901
9.0,39.6949967939,242.444307603,12509.4094915
9.25,40.8962090254,243.25327169,12746.2373037
9.5,40.1023554946,258.344251769,12972.6475354
9.75,44.0375055944,268.929404673,14228.651504
10.0,46.6633540549,270.609252998,16150.2394958
