,L1NN,L2NN,RIDGE
0.0,2.35720093582,5.2823090183,60.5430804544
0.25,36.4978259772,73.2850518136,92.1285121763
0.5,48.7624035778,92.2082109696,167.350068708
0.75,71.432447387,120.213283533,339.240024909
1.0,73.1470249541,123.937042594,567.061006896
1.25,71.8163852105,118.108262498,814.522991961
1.5,65.2722036731,107.948552809,1084.05548594
1.75,73.0248629384,118.509533961,1214.18511084
2.0,73.6401142098,112.281858232,1554.97460434
2.25,80.6294976993,116.538071576,1644.94326008
2.5,76.1376257563,109.815980882,1796.66967541
2.75,83.8867991625,117.202439228,2046.50320869
3.0,93.3769195668,130.456709667,2297.04087154
3.25,90.251400609,129.409468234,2628.01816051
3.5,103.731031127,141.740018014,2849.32512471
3.75,93.2890409383,136.521599942,2932.52084892
4.0,94.1062976041,138.836598931,2944.37650921
4.25,100.594718215,142.353752358,3671.4083689
4.5,106.348454984,141.945222068,4596.86770821
4.75,111.942708205,149.950409753,5042.17261659
5.0,109.015107897,148.694977864,5302.87372502
5.25,110.849383166,153.375731191,5968.67511586
5.5,116.046365191,157.055481373,6439.96515022
5.75,126.89202816,173.63401497,6769.41915189
6.0,129.51590658,175.906243861,7381.26113351
6.25,130.217369074,173.570385435,7979.49339537
6.5,128.127014793,174.046928544,8488.46547831
6.75,124.013158475,164.563040707,8771.24090412
7.0,121.868046506,162.087128994,8796.72876007
7.25,122.670379635,158.830509115,8989.29378676
7.5,126.69284011,162.105419583,9590.967605
7.75,126.21970886,159.094044791,9699.41524755
8.0,125.518905452,161.397139447,9938.5791452
8.25,133.815352772,170.758723148,10497.4704264
8.5,134.373522996,171.994575293,11587.1042966
8.75,127.127298511,167.81335674,12633.498729
9.0,126.261391817,165.857410029,12752.2826399
9.25,129.212536293,166.331783355,13750.6369909
9.5,127.974560477,165.703737101,14265.0563508
9.75,129.788097118,167.767014847,15805.5984611
10.0,130.350674021,168.00475764,17326.7895753
