,L1NN,L2NN,RIDGE
0.0,2.35720093582,5.2823090183,60.5435453493
0.25,32.713801241,55.8721335686,63.8836612843
0.5,45.8903225058,82.1112587307,86.4713336958
0.75,52.7529990657,95.2320543872,104.221607557
1.0,61.2895366467,101.785960536,139.711401955
1.25,53.0364994785,102.700426275,211.847620861
1.5,70.5848037323,121.11819982,250.627595215
1.75,78.1992645963,130.965610493,300.299188666
2.0,77.5488869817,127.402385098,341.768464526
2.25,69.0796620928,115.97902453,397.986403716
2.5,60.3944270206,102.777629325,421.484603473
2.75,57.4212428196,94.8214085518,564.232440655
3.0,59.9603830083,98.7078822097,604.351657193
3.25,58.3493801499,98.62817679,619.814314443
3.5,55.4163444711,98.119621588,709.992297774
3.75,63.759043587,108.84530066,868.356646908
4.0,64.0532994279,109.932217146,937.885606837
4.25,61.8628189779,102.240850708,1023.05628933
4.5,58.5051738434,98.9897942318,1241.76940832
4.75,61.3043308086,101.985969363,1346.07504781
5.0,67.0737480731,111.855869595,1444.75942052
5.25,70.794452955,118.125436577,1446.58783732
5.5,72.7028531697,118.931470726,1558.00248778
5.75,75.6371096935,119.545861076,1672.44396308
6.0,73.9962241027,117.437356532,1924.74603452
6.25,73.9469961716,117.671647514,1991.63375815
6.5,70.4699103548,107.468706317,1998.04939313
6.75,77.3866408225,113.88524863,2257.97074571
7.0,81.1441252942,119.252120053,2295.10111461
7.25,80.3638508187,118.889864703,2572.82180202
7.5,79.1017481873,114.878405463,2868.48512938
7.75,80.1175674405,117.119502255,2889.10068966
8.0,82.388639825,116.355697744,3011.75751776
8.25,88.2217084082,119.294262223,3051.29736942
8.5,92.1657424424,121.390543002,3152.63185508
8.75,94.46055905,123.030599603,3321.48803533
9.0,96.6356258966,124.719369517,3563.11855847
9.25,93.3466382904,120.951875617,3853.79601985
9.5,97.6699633727,125.137392214,4088.70782117
9.75,103.654679369,130.415999699,4101.3793987
10.0,90.1209867408,116.659286493,4080.99092817
