,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,Algorithm
0,0.6196115016937256,1.764359951019287,0.8707276648716076,-227.44998709728165,knn
1,0.6189174652099609,1.559142827987671,0.8823317915513725,-204.48056720991804,knn
2,0.6237406730651855,1.5987834930419922,0.8825704726597571,-198.70355625282835,knn
3,0.6205592155456543,1.4180445671081543,0.8853208520376785,-202.526446995528,knn
4,0.5697634220123291,1.3400793075561523,0.8899925657560397,-200.118602941318,knn
0,0.027161359786987305,0.0072247982025146484,0.8487005455172356,-332.6335643376217,rr
1,0.047020912170410156,0.002207517623901367,0.8605334007627133,-325.39345737154963,rr
2,0.031256675720214844,0.006776332855224609,0.8586176727340276,-331.2061402178319,rr
3,0.04156041145324707,0.0034346580505371094,0.8636690527192072,-318.1623280195427,rr
4,0.03120279312133789,0.0030477046966552734,0.8424975059154037,-343.29535320035257,rr
0,57.25038933753967,16.219544410705566,0.31607787443065305,-621.5272860990912,svr
1,56.76833629608154,16.30844759941101,0.32834701759783147,-615.9331740389241,svr
2,59.68418884277344,18.74139714241028,0.32195968574739575,-640.4425616040595,svr
3,59.29047989845276,15.401169061660767,0.32416254889450735,-599.5308933607197,svr
4,55.246599197387695,16.048206329345703,0.317067872757263,-608.1318829252506,svr
