,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,Algorithm
0,0.598106861114502,1.6642920970916748,0.9961674085359233,-503.29051911698116,knn
1,0.7113597393035889,1.601466417312622,0.9958509294123336,-522.5113158244061,knn
2,0.7886414527893066,1.5548913478851318,0.9957141938121328,-520.0424733837019,knn
3,0.6979680061340332,1.4158904552459717,0.9954806768090955,-550.3762281362714,knn
4,0.5792245864868164,1.5657463073730469,0.9958411596243191,-507.305392896252,knn
0,0.030871868133544922,0.004255056381225586,0.9897453026086807,-1256.6109070446516,rr
1,0.10854697227478027,0.021185636520385742,0.989722962762271,-1264.9127803616354,rr
2,0.09252262115478516,0.018561363220214844,0.9904828340367496,-1221.5778363594502,rr
3,0.07272529602050781,0.0025522708892822266,0.9897056902218765,-1276.6805669192715,rr
4,0.05725526809692383,0.004087209701538086,0.9900948989234766,-1229.8624362930054,rr
0,53.04008913040161,19.399535417556763,0.9874227992904138,-1361.548905484849,svr
1,60.35356020927429,18.364221334457397,0.9876576393956942,-1375.2800307475281,svr
2,55.77121543884277,18.888184070587158,0.9881531216594567,-1358.5800750348678,svr
3,53.05860614776611,17.043736934661865,0.988829043440946,-1320.1700964301585,svr
4,51.38427543640137,17.357974767684937,0.9872387113794293,-1395.0059958880247,svr
