,r2 Score,Explained Variance,Negative MAE,Negative RMSE
kNN,-2.50639582868,2.22044604925e-16,-1.58015217391,-1.86897956929
Ridge,-2522.80280174,0.0627560105502,-50.1327048779,-50.1420161575
SVR,-1.78512196915,0.0,-1.33354609142,-1.66569772638
