,TrainL1,TrainL2,TrainRR,TestL1,TestL2,TestRR,CVL1,CVL2,CVRR
350,111.014834154,145.768963551,7.19893012731,226.203043274,229.768796212,58.1481689727,166.664211303,214.375405007,8.52767163628
466,97.5971134083,129.205051774,6.14540905156,212.628103025,238.960079966,57.953310944,151.73178688,188.010357133,7.14997792019
583,71.4278538337,103.830738072,5.45914364649,199.426821075,210.518028839,58.1953249845,117.832424822,149.106058897,6.42368020722
700,60.9924047993,90.2614562022,4.90536044842,200.986192231,217.02667317,57.9855688269,102.560844855,143.680896265,5.74196693825
816,50.5027501609,74.6791291504,4.46881324785,214.781082842,225.661111907,58.1387928831,90.7769969469,130.790770558,5.21181356022
933,38.8920829951,60.3936915171,4.13440872457,198.350122562,196.863588578,57.9929158058,85.1603146393,122.280638768,4.87907376136
1050,34.7680745549,53.1354427518,3.81276965335,199.864471632,207.697165943,58.0821835083,70.3987935516,106.068093902,4.4777251783
1167,25.4724255926,40.7162088415,3.5579847532,206.934127261,221.51627483,58.2144668316,56.6159509791,92.9036557837,4.15273157784
1283,21.7101049464,29.4559249677,3.37573142898,197.234329569,206.447880728,58.1714397086,56.7407764676,88.7377397146,3.94198886695
1400,18.224607055,23.5354114089,3.20238151515,205.33216937,215.323658644,58.2621122725,47.2276309209,69.3292282677,3.7435629677
1517,16.488415318,16.9801160616,3.04910909292,196.287218016,209.851677195,58.1873957341,45.584522951,63.5901881986,3.56749438029
1633,14.9910055605,17.9458116778,2.90082592596,180.701094953,183.31720151,58.2006465122,36.5005564265,53.9714322838,3.392605256
1750,12.1446415047,11.6509868038,2.78488921898,175.828922361,186.67227518,58.230350477,27.8431068966,42.5008692862,3.24003121015
1867,12.7161443879,12.5350723315,2.67225654601,181.762423871,186.761697894,58.2923189092,30.3333188149,41.2081542991,3.12014413608
1983,12.5436621188,10.603031578,2.55822224186,190.324896809,202.589743002,58.2639132451,24.9228428914,31.6420743828,2.97639804555
2100,10.8728048039,9.50060150972,2.47507479297,176.517126276,188.717685967,58.2940401678,20.5819635913,21.9296993259,2.87913888706
2217,10.3716136102,8.7971361658,2.38745378064,181.68964131,199.18929967,58.3051146936,19.2786478773,19.7431548184,2.77774430741
2334,9.54114348614,7.84205698493,2.3098776425,173.90112133,191.226776368,58.3195201133,18.272508918,16.4914282241,2.68673888645
