,TrainL1,TrainL2,TrainRR,TestL1,TestL2,TestRR,CVL1,CVL2,CVRR
350,0.299953553492,0.224285555344,0.33267831055,0.560042603711,0.460179825711,0.608490601534,0.417800766561,0.333098625104,0.346026978236
466,0.205288646832,0.156991459161,0.315907443695,0.506764462919,0.43089104115,0.599194958713,0.320364340269,0.241460381653,0.327935187859
583,0.206170963118,0.170088189265,0.336061397785,0.447122398193,0.434935495822,0.588648527444,0.314352062591,0.244515410122,0.348476163384
700,0.182584498862,0.128099755468,0.338723052707,0.409314012036,0.394894910307,0.579817482893,0.28896737773,0.213977043547,0.349328562656
816,0.14845999314,0.122097420286,0.324285717871,0.527168386644,0.513416600498,0.586275740853,0.248746010502,0.187771122632,0.331606393943
933,0.138841840151,0.109284646444,0.318952396908,0.345645550974,0.317212124942,0.570787809713,0.219274605046,0.180160964284,0.327084295293
1050,0.121096051525,0.092891558837,0.322997502895,0.359177930014,0.343730894951,0.563592720783,0.192127435771,0.138275845619,0.331097790604
1167,0.123879770328,0.101595154719,0.328820128895,0.35775027563,0.342915761859,0.564076137695,0.187360495412,0.147417144313,0.335339002551
1283,0.0983299168714,0.0816570445491,0.323468706528,0.384072398335,0.357178140679,0.557078776303,0.167435944449,0.124335914349,0.330792365394
1400,0.121102172032,0.104809301848,0.32883742628,0.388964920396,0.373279096982,0.553226577423,0.165684493717,0.124784351612,0.334862452373
1517,0.0931146880921,0.0838999427717,0.321916052643,0.379184791589,0.370978895562,0.552674619764,0.14758852589,0.112957958081,0.326754413573
1633,0.0963945997377,0.0828633653463,0.322849416417,0.369306835506,0.352289448699,0.555095929189,0.130965496104,0.105047782592,0.328267877722
1750,0.10548933271,0.0944573656523,0.320669414087,0.386284139002,0.380127967526,0.547334028046,0.12565000182,0.100238839279,0.325265704123
1867,0.0957673990039,0.0857722133835,0.319685990889,0.357994284654,0.345858096737,0.545272707776,0.127569007995,0.103312918208,0.324683038417
1983,0.105653201103,0.0962049729111,0.319629346474,0.326670623801,0.308965759557,0.545987043597,0.119936019568,0.100082699113,0.32377118639
2100,0.0931700313196,0.0855839388315,0.316978047085,0.395985383251,0.379805236416,0.54493863364,0.113606969464,0.0943819212608,0.321460715931
2217,0.0888072965136,0.0809475376948,0.318430710727,0.359751332894,0.3515621728,0.540549823772,0.108694879233,0.0920093299515,0.323708837855
2334,0.0967296126586,0.0901083503722,0.319576735902,0.361435996719,0.351756909106,0.539714527757,0.114706063633,0.0986595766277,0.323570230784
