,TrainL1,TrainL2,TrainRR,TestL1,TestL2,TestRR,CVL1,CVL2,CVRR
350,0.930476190476,0.938095238095,0.948571428571,0.806666666667,0.853333333333,0.883333333333,0.867619047619,0.873333333333,0.938095238095
466,0.967811158798,0.952789699571,0.953505007153,0.836666666667,0.916666666667,0.876666666667,0.907725321888,0.906294706724,0.941344778255
583,0.96397941681,0.957118353345,0.951400800457,0.836666666667,0.843333333333,0.88,0.927958833619,0.923956546598,0.949685534591
700,0.969523809524,0.968095238095,0.957619047619,0.853333333333,0.81,0.89,0.93619047619,0.945238095238,0.953333333333
816,0.967320261438,0.969362745098,0.955473856209,0.853333333333,0.86,0.89,0.940767973856,0.935866013072,0.955065359477
933,0.973561986424,0.973561986424,0.961772061451,0.9,0.836666666667,0.89,0.945694891033,0.941407645588,0.955698463737
1050,0.978412698413,0.977777777778,0.960317460317,0.893333333333,0.87,0.89,0.949841269841,0.948253968254,0.954603174603
1167,0.98029134533,0.979720079977,0.963439017424,0.886666666667,0.813333333333,0.89,0.954584404456,0.956583833191,0.961153956013
1283,0.98285268901,0.98285268901,0.958690568979,0.883333333333,0.843333333333,0.89,0.959729799948,0.959210184463,0.956612107041
1400,0.984047619048,0.982857142857,0.965476190476,0.893333333333,0.853333333333,0.89,0.959761904762,0.960238095238,0.96
1517,0.987255548231,0.987914744012,0.961766644693,0.866666666667,0.82,0.89,0.968578334432,0.968358602505,0.960008789277
1633,0.988569095734,0.988977342315,0.962441314554,0.813333333333,0.75,0.89,0.969789753011,0.970197999592,0.959991835068
1750,0.990285714286,0.990476190476,0.96419047619,0.78,0.726666666667,0.89,0.975619047619,0.974857142857,0.963428571429
1867,0.988573469023,0.989109087663,0.96268523478,0.813333333333,0.74,0.89,0.977146938047,0.976611319407,0.961435457954
1983,0.988065221046,0.989409984871,0.962514708354,0.853333333333,0.78,0.89,0.97713901496,0.975962346613,0.960497562616
2100,0.989206349206,0.99126984127,0.96126984127,0.776666666667,0.716666666667,0.89,0.981587301587,0.980952380952,0.95873015873
2217,0.988873853556,0.990527740189,0.961058487445,0.823333333333,0.776666666667,0.89,0.983611486994,0.981957600361,0.959855660803
2334,0.988860325621,0.990145672665,0.961868037704,0.78,0.73,0.89,0.985432733505,0.98657526421,0.960154241645
