,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_rmse,algorithm
0,0.002351045608520508,0.0191190242767334,0.9999044400689769,0.9999044464185942,-0.42374241962279696,-1.9839807899042619,-1.408538529790457,knn
1,0.0020966529846191406,0.01795220375061035,0.9999063313477982,0.9999064426704503,-0.37572963233129375,-2.0078571686243603,-1.4169887679951314,knn
2,0.0019872188568115234,0.01943683624267578,0.9996588124452281,0.999658820094337,-0.496944394135761,-6.65247534123115,-2.5792392950696046,knn
3,0.0022089481353759766,0.018285751342773438,0.9995545283958073,0.9995546459215966,-0.773630808775647,-9.392477844285162,-3.0647149695012685,knn
4,0.002064943313598633,0.018639087677001953,0.9994476447472984,0.9994493707643096,-0.7746736422157159,-12.678072372888057,-3.560628086853225,knn
5,0.0020830631256103516,0.01817607879638672,0.9997532336910462,0.9997537654064728,-0.6321430426801978,-5.088937024749563,-2.255867244487043,knn
6,0.0020198822021484375,0.019624710083007812,0.9998808289922656,0.9998819497555623,-0.4468541918769136,-2.17235553367185,-1.4738912896383674,knn
7,0.002069234848022461,0.01909804344177246,0.9997830225108925,0.9997831329274982,-0.5966109843400321,-3.385256362736352,-1.8399066179391692,knn
8,0.0019593238830566406,0.018492698669433594,0.9997986573098065,0.9997989012967212,-0.6106629805344962,-3.9660369046474564,-1.9914911259273682,knn
9,0.001987457275390625,0.01937246322631836,0.9998719659641921,0.9998726272205956,-0.39908563738636804,-2.7879712056480415,-1.669721894702241,knn
0,0.01884293556213379,0.001497030258178711,0.9549451819105378,0.954966439631323,-25.12968515863558,-945.0165535944574,-30.74112154093369,rr
1,0.011747360229492188,0.0014536380767822266,0.960364077186597,0.9604485344661655,-24.083812278533284,-901.5036378184928,-30.02505017178977,rr
2,0.011362791061401367,0.0014543533325195312,0.9596475106913839,0.9596481426246897,-23.56150834273878,-849.744340843969,-29.150374626134205,rr
3,0.011549711227416992,0.001439809799194336,0.9576155294912242,0.9577551722170357,-24.482859568328728,-872.1765662010438,-29.532635612167155,rr
4,0.011292219161987305,0.0014443397521972656,0.9562388537767605,0.9565939016013009,-24.3062170014078,-934.7464760393971,-30.57362386174392,rr
5,0.011447668075561523,0.0014557838439941406,0.9558442172670839,0.9559307348217903,-23.334657349414005,-840.9160001078349,-28.998551689831594,rr
6,0.01171422004699707,0.0015141963958740234,0.9507645692201326,0.95256125778277,-23.69878369938236,-851.2523778426759,-29.1762296714753,rr
7,0.011991262435913086,0.0014719963073730469,0.953305494183972,0.9533186247097057,-24.689143545119762,-893.0925269798237,-29.884653703528567,rr
8,0.01172947883605957,0.001409769058227539,0.9567001026130103,0.9570688014627563,-23.773341716145598,-891.0789516533804,-29.85094557385713,rr
9,0.01161646842956543,0.0014607906341552734,0.9572050419030712,0.9573082576377301,-23.089984301861012,-824.3567827264023,-28.711614073862208,rr
0,2.7459113597869873,0.08729743957519531,0.9991051439006443,0.9991073590941253,-2.8145955622098935,-17.401656952714728,-4.171529330199505,svr
1,2.1864638328552246,0.08462119102478027,0.9990064461715134,0.9990092449707572,-3.128292810051622,-20.10642898303889,-4.484019288878995,svr
2,1.610280990600586,0.11621236801147461,0.9987985294916786,0.9988237372290663,-3.378466065773099,-23.33444580030739,-4.830574065295696,svr
3,1.767899513244629,0.0854489803314209,0.9985757378499553,0.9985913035339884,-3.75032482324837,-29.860183422214515,-5.464447220187465,svr
4,2.0023908615112305,0.08466553688049316,0.9987600610370374,0.9987611721443596,-3.148706752691452,-20.56729709959205,-4.535118201281202,svr
5,1.8388206958770752,0.08521580696105957,0.9990639873711815,0.9990759378692717,-3.2466163109413566,-22.492253591412904,-4.742599876798896,svr
6,1.8137495517730713,0.08562469482421875,0.9987885031255281,0.9987888235954555,-3.3570589975608964,-23.76319865158678,-4.8747511374004295,svr
7,1.6106934547424316,0.08500909805297852,0.9991408905411108,0.9991458661820277,-2.777861815700573,-16.102241609206292,-4.012759849431099,svr
8,1.6646571159362793,0.08455848693847656,0.9991469090969377,0.9991509047563637,-3.1485919071785564,-18.985408270161358,-4.357224835851526,svr
9,1.6070642471313477,0.08455371856689453,0.9986990645698911,0.9987334058472082,-3.6840504607726583,-26.405045390178405,-5.138583986875996,svr
