,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_rmse,algorithm
0,0.003922224044799805,0.02356743812561035,0.9999912552755376,0.9999912562253589,-5.153776287598638,-221.14005449527878,-14.87077854368354,knn
1,0.0038995742797851562,0.024672269821166992,0.9999423944680265,0.999943476192689,-7.9097381656491335,-1330.984881672905,-36.4826654957242,knn
2,0.004281759262084961,0.026310443878173828,0.9999912586192723,0.9999914104538642,-3.547905396817405,-190.53329153121,-13.803379714084882,knn
3,0.003921985626220703,0.024295568466186523,0.9999910247997171,0.9999911164034686,-3.3227498585690918,-189.11392616429754,-13.751869915189626,knn
4,0.0043489933013916016,0.026055097579956055,0.9999912745397566,0.9999913169103999,-4.674575304017994,-189.02111151036584,-13.748494881635802,knn
5,0.004300594329833984,0.026612281799316406,0.9999794839586874,0.999979948330853,-5.940330474733068,-464.2140506779004,-21.545627182282264,knn
6,0.0043430328369140625,0.025701284408569336,0.9999954457674815,0.9999954756183519,-3.654635325024378,-115.393764624352,-10.742148976082579,knn
7,0.004315376281738281,0.027480363845825195,0.9999903162414301,0.9999903722786075,-4.642809867756698,-224.86586955938162,-14.995528318781624,knn
8,0.0043141841888427734,0.025146007537841797,0.9999896833900273,0.9999897748745575,-3.785245708110364,-216.31904557956352,-14.70778860262696,knn
9,0.0038454532623291016,0.02492523193359375,0.9999767939164947,0.9999774949289366,-5.486067178721195,-501.09537904560636,-22.385159794953584,knn
0,0.0020186901092529297,0.0013585090637207031,0.9998400177739392,0.9998403899620173,-53.232466958884835,-3900.1387866598902,-62.45109115667948,rr
1,0.002643108367919922,0.0014493465423583984,0.9998101275728901,0.9998101303460704,-52.12138711276199,-3771.843812173138,-61.41533857411467,rr
2,0.002715587615966797,0.0014605522155761719,0.9998466874330033,0.999846979267683,-50.498838892090575,-3693.2590518050224,-60.772189789450756,rr
3,0.002773761749267578,0.001453399658203125,0.9998511863612154,0.9998512465835493,-47.81979706446877,-3263.0489288410013,-57.12310328440675,rr
4,0.0027742385864257812,0.0014731884002685547,0.9998508484815251,0.9998509177773126,-49.90892504692895,-3551.778571590878,-59.59680001133348,rr
5,0.0027456283569335938,0.0014722347259521484,0.999821040054982,0.9998240896086045,-47.62900762637623,-3339.014303556693,-57.784204619919215,rr
6,0.0027599334716796875,0.0014576911926269531,0.9998586672097826,0.9998590295120992,-49.31514353887271,-3579.915529278379,-59.83239531623633,rr
7,0.0027146339416503906,0.0015149116516113281,0.9998723451139336,0.9998727436153809,-44.91875229067085,-3014.1599703618504,-54.90136583330009,rr
8,0.0026922225952148438,0.0015306472778320312,0.9998588013796555,0.9998588353258022,-46.27386555635471,-3127.540079825605,-55.924413987324044,rr
9,0.0027027130126953125,0.001451253890991211,0.9998478758962659,0.9998478929951491,-48.52671020691404,-3375.1129999537416,-58.09572273372405,rr
0,1.241004228591919,0.08805656433105469,0.9999966257197578,0.9999966258333124,-5.586046562581743,-81.58463774498122,-9.032421477376996,svr
1,1.9935634136199951,0.08777213096618652,0.9999977273803056,0.999997810718658,-4.640231712987839,-49.95325228027993,-7.067761475904512,svr
2,1.375396966934204,0.08801102638244629,0.9999977553599422,0.9999978657482953,-4.655858589448148,-51.26858884364971,-7.160208715089925,svr
3,1.3560736179351807,0.10880231857299805,0.999997577257805,0.9999975801560383,-4.91536462609905,-56.22594456562914,-7.498396132882627,svr
4,1.2166285514831543,0.08756828308105469,0.9999984307895241,0.9999984313498524,-4.006520717704187,-30.31653308878835,-5.506045140460469,svr
5,1.317115068435669,0.08717489242553711,0.9999978493568502,0.9999978533452089,-4.898513368022609,-51.716763055653765,-7.191436786599307,svr
6,1.2129220962524414,0.0873267650604248,0.9999984286259007,0.9999984286961465,-4.158170167561973,-34.31684619369808,-5.858058227236913,svr
7,1.1442601680755615,0.08732843399047852,0.9999972284172316,0.9999973401487808,-5.218768967012303,-68.20290409986703,-8.258504955490857,svr
8,1.220515489578247,0.08688116073608398,0.9999975696967621,0.999997585981159,-4.5504752890052975,-50.21622463497248,-7.086340708360873,svr
9,1.3144781589508057,0.12173032760620117,0.9999977070137022,0.9999977206678408,-4.929477356787982,-54.817453223388085,-7.403880956862292,svr
