,L1NN,L2NN,RIDGE
0.0,2.84721547087,3.11314617356,0.497395927598
0.25,3.03703792659,6.14485919157,14.6710566947
0.5,3.52222170669,11.4276525675,27.7146425856
0.75,3.46302014323,24.5553534205,55.9249110014
1.0,3.57170847795,38.4135475154,86.686704566
1.25,3.69532402428,52.5142072212,121.822910453
1.5,3.88845830779,83.8033359391,169.287814891
1.75,3.89277679985,75.1069833297,161.600706796
2.0,4.08749950275,96.1070103411,199.593179059
2.25,4.37495552398,114.302295126,252.590739943
2.5,4.30675506642,121.436291121,311.100189408
2.75,4.60613862695,130.948282046,359.653889674
3.0,4.7755959959,159.053204755,408.018884911
3.25,4.91755020338,166.732707166,476.186141078
3.5,5.0916658444,197.676002111,599.531714611
3.75,5.26426951092,176.991735399,596.138451055
4.0,5.17730902373,195.895262421,608.162378775
4.25,5.20281134372,201.202947407,661.563150737
4.5,5.57729245893,193.815579027,731.405377483
4.75,5.29896051324,206.813379586,829.152167028
5.0,5.52446377518,199.865075142,859.205196407
5.25,5.37266349411,203.350406349,942.988693723
5.5,6.01810982903,196.36918146,934.161518035
5.75,6.11264548719,206.769064027,985.233129928
6.0,6.3429475393,220.53953286,1075.13082312
6.25,6.42465272471,213.842985536,1144.90761774
6.5,6.60961323937,212.37671745,1177.77681365
6.75,6.25611944948,214.918376838,1264.30285042
7.0,7.00206842763,194.383262074,1295.3704844
7.25,8.06188309232,201.894728142,1407.0174452
7.5,8.3175859703,217.035254022,1366.29864295
7.75,8.31736860698,210.443862156,1446.82846618
8.0,8.38909148402,199.112382517,1465.71496038
8.25,9.09933918455,191.445675778,1398.81317792
8.5,8.84791536051,191.931516278,1495.58594256
8.75,10.3373179856,212.453029843,1563.01764709
9.0,10.5869105321,192.577061028,1638.5686742
9.25,10.1142972777,199.519295905,1838.60015041
9.5,10.572596705,199.465854882,1942.14506042
9.75,10.4135226973,194.120252901,1745.91796336
10.0,10.6854429942,164.290846741,1852.11598349
