,TrainL1,TrainL2,TrainRR,TestL1,TestL2,TestRR,CVL1,CVL2,CVRR
346,100.870384809,146.787665457,6.54071675818,214.422253079,439.756015703,47.371103077,150.409757653,244.3503602,7.69881891187
462,81.1255053927,114.343062067,5.68942624497,204.746082618,413.831585537,46.9023163321,141.259693646,183.588071623,6.61777000612
578,66.8068721054,101.721800135,5.16084161849,190.423299615,417.336356288,46.3016064282,109.782977173,150.094963068,5.98708324321
693,53.0104747758,83.6507073694,4.64332721033,205.027534275,428.250147805,45.9736898106,94.895446567,130.84078179,5.40727324679
809,38.5525343354,69.3289232385,4.32926353727,203.325262673,414.61228518,45.9165104742,84.9759336909,127.579848137,4.98268170851
925,33.8050803037,61.7083256671,3.97712331204,202.68261915,415.678821932,45.5092827212,66.7937119824,110.049862621,4.56925430891
1040,27.1447625376,45.4194082422,3.75388897452,198.456016162,404.289973784,45.4399133094,66.9594193792,105.666905228,4.28608541509
1156,22.1127038109,40.5700189593,3.56350013748,215.9865231,419.133687678,45.2938611029,53.8618460411,92.0530172723,4.06159809936
1272,17.2811376023,37.3656621548,3.39613209371,206.476696214,402.572182452,45.2218417225,44.4484355977,84.4315546886,3.86627788424
1387,12.4818794834,25.9386890551,3.25048578493,206.448763201,420.567608665,45.1501034642,41.2753907436,72.630445463,3.70682590801
1503,10.2336297132,24.194953165,3.10114070796,213.031888971,403.259125959,44.9913365349,32.8328110558,65.4231488907,3.53766582825
1619,5.33563873728,13.4156904898,2.99232605297,215.093021146,416.568816144,44.8848633056,25.0227942963,50.2609516992,3.41410834042
1734,4.2204554758,13.732703248,2.8860730603,214.945470829,402.38683464,44.8609821311,17.9856803659,39.7916161252,3.28402075004
1850,4.84541676469,12.0595536372,2.78399641401,210.582644385,398.279330189,44.8446332972,8.89811089422,30.2889585084,3.18234460712
1966,3.43502137002,11.0538001774,2.69307534739,213.316627158,408.642425976,44.852494069,14.070771228,34.5291767358,3.06748085884
2081,3.49219601879,7.45840143078,2.61221396158,213.195573024,407.813291129,44.8849433971,9.69272509314,28.3441362329,2.97401537073
2197,3.05825449772,3.005031739,2.53266060581,212.778921807,399.472097301,44.9095632957,5.49502767881,25.1392707193,2.89127431624
2313,2.89430467775,1.29650833092,2.46460430452,212.778921807,399.472097301,44.962275974,4.78226802894,18.942937975,2.80927971179
