,TrainL1,TrainL2,TrainRR,TestL1,TestL2,TestRR,CVL1,CVL2,CVRR
346,7.10956784785,3.49456739713,12.1730819897,25.5095537467,22.421334635,57.4047691825,13.2081477011,6.8591407169,12.7826055791
462,5.15967379217,2.33245359191,13.0813067349,11.3445642672,10.0063431518,61.4539216235,9.38183563663,5.34434930939,13.5880598983
578,4.21579014595,1.84422280672,12.5919998791,12.0955045661,10.1794656919,55.3631489756,7.87217292681,3.87099257937,13.0008220351
693,3.09327484537,1.43211423112,12.5723652016,7.14528268884,6.49617632826,60.1617785909,7.05334242082,3.52073218214,12.9475780065
809,2.17360031145,1.1001514117,11.8420564084,10.0575384742,11.123403861,64.3292095626,5.53374043249,2.95992866721,12.2527077545
925,1.63118085225,1.01188036866,11.4555741843,12.5192023521,12.5209021991,60.5362796332,4.51289926467,2.06580440703,11.8094284003
1040,1.40921593386,0.781629521969,11.5445946625,7.81818131766,8.69987582843,65.1001070334,3.60414421397,2.1918733873,11.8148835388
1156,1.12765223021,0.654081437993,11.9398585993,4.85391583597,6.18444904475,66.6358417451,3.16138892068,1.63089927524,12.1997637381
1272,0.919519988479,0.473380519174,11.5285404082,3.89716435923,4.72864575777,62.2015816166,2.61408750892,1.16926857363,11.8040878414
1387,0.647990144921,0.401165553122,11.7849218728,2.94654914641,4.98390522481,62.6866756416,1.99317269518,1.02646139856,12.0534588518
1503,0.730607235406,0.501020789164,11.3018385804,5.44733981497,6.26213888647,61.5432023875,1.91555125657,1.11017793081,11.5613292185
1619,0.59503760191,0.359300413651,11.5754251603,3.20691552077,4.66381239104,60.8408251958,1.57287676639,0.655404162437,11.814042274
1734,0.523025446383,0.334569548704,11.4928103293,2.3687763693,4.92064134983,61.3588555223,1.1460471132,0.609635158086,11.718334128
1850,0.474002204485,0.313705840432,11.2499850062,2.74723002716,5.12347311367,61.7274739136,1.2490347503,0.518267460823,11.4712873271
1966,0.475887832798,0.299682496388,11.0501099484,3.01992952068,5.13683049028,60.2211432613,0.939218836922,0.503031018845,11.3014269807
2081,0.448925029063,0.286689424181,11.1538485406,2.35926846422,5.13903445743,60.3778208566,0.83786630592,0.494678548598,11.3729260616
2197,0.423614839692,0.264327561545,11.2020596039,2.34943696067,5.2823090183,61.1125767796,0.783209257575,0.476201870123,11.437490488
2313,0.405865120215,0.250549061196,11.177180489,2.35720093582,5.2823090183,60.5435453492,0.731982142151,0.458118702472,11.3948350372
