,L1NN,L2NN,RIDGE
0.0,3.21207574308,2.25872194951,28.3250101529
0.25,22.0128292019,37.0699357283,51.9217910601
0.5,31.9393809966,57.6320605617,79.49452764
0.75,35.7677895525,82.2098229773,157.832841232
1.0,55.740240882,113.367181553,257.561683773
1.25,41.9618270685,90.8452118653,314.39410236
1.5,46.7545028945,95.1795345816,403.229069524
1.75,48.677358021,93.7534203073,396.760184005
2.0,52.5088766948,107.643244207,573.164928738
2.25,64.973077596,118.748987815,734.158346592
2.5,62.7158992696,109.674877065,886.968293862
2.75,78.1900722691,133.81944886,972.899054175
3.0,72.7992878156,117.68594897,1130.79604384
3.25,76.5773130981,125.888377534,1402.60445195
3.5,82.4546134975,133.502629411,1652.35240565
3.75,87.5981831291,145.259167389,1840.61328686
4.0,82.0334116985,140.302281096,1904.41877052
4.25,75.7881337937,137.078541637,1956.98999567
4.5,65.560387787,127.591165312,2072.75781392
4.75,65.6615649904,118.221164126,2217.74977443
5.0,73.6111808902,132.624030749,2282.07914127
5.25,71.2042010323,122.64584566,2487.65228492
5.5,93.5368196034,145.485959963,2573.31922728
5.75,73.5473363255,125.710232206,2568.79296203
6.0,79.2979416968,129.318059602,2774.11604097
6.25,73.2889431925,113.451350086,2937.81795117
6.5,75.2694878608,126.995459722,3356.20674424
6.75,77.8140327289,121.74814868,3602.22278423
7.0,71.6363811418,122.886654115,3783.48436535
7.25,66.7161374171,115.135180476,3864.24419035
7.5,74.6350674479,120.485841322,3837.59841582
7.75,72.0601081155,108.132880446,3920.80779569
8.0,76.3977423291,123.195160713,4078.1849445
8.25,75.1653603031,121.263744934,3971.95699179
8.5,74.7040268168,113.001515975,4322.15883062
8.75,79.7094635941,122.948121167,4471.10732334
9.0,67.2939132144,111.729207942,4694.25271084
9.25,81.3050826101,116.801949086,5139.86191575
9.5,79.290908969,117.066191965,5472.21304923
9.75,83.3374382923,115.076266258,5076.69329667
10.0,75.8279248227,101.141734379,5852.94541874
