,L1NN,L2NN,RIDGE
0.0,0.804347826087,0.70652173913,0.902173913043
0.25,0.688405797101,0.514492753623,0.518115942029
0.5,0.659420289855,0.427536231884,0.427536231884
0.75,0.663043478261,0.394927536232,0.427536231884
1.0,0.630434782609,0.420289855072,0.405797101449
1.25,0.56884057971,0.333333333333,0.398550724638
1.5,0.54347826087,0.31884057971,0.423913043478
1.75,0.539855072464,0.307971014493,0.405797101449
2.0,0.514492753623,0.322463768116,0.391304347826
2.25,0.536231884058,0.333333333333,0.373188405797
2.5,0.547101449275,0.304347826087,0.380434782609
2.75,0.496376811594,0.282608695652,0.376811594203
3.0,0.478260869565,0.289855072464,0.427536231884
3.25,0.460144927536,0.315217391304,0.405797101449
3.5,0.471014492754,0.31884057971,0.405797101449
3.75,0.45652173913,0.286231884058,0.43115942029
4.0,0.43115942029,0.268115942029,0.427536231884
4.25,0.445652173913,0.286231884058,0.460144927536
4.5,0.43115942029,0.311594202899,0.45652173913
4.75,0.474637681159,0.351449275362,0.43115942029
5.0,0.471014492754,0.344202898551,0.416666666667
5.25,0.463768115942,0.322463768116,0.445652173913
5.5,0.467391304348,0.322463768116,0.445652173913
5.75,0.463768115942,0.344202898551,0.409420289855
6.0,0.467391304348,0.322463768116,0.420289855072
6.25,0.449275362319,0.322463768116,0.402173913043
6.5,0.434782608696,0.329710144928,0.373188405797
6.75,0.402173913043,0.315217391304,0.355072463768
7.0,0.413043478261,0.31884057971,0.409420289855
7.25,0.409420289855,0.311594202899,0.402173913043
7.5,0.402173913043,0.304347826087,0.409420289855
7.75,0.373188405797,0.289855072464,0.376811594203
8.0,0.351449275362,0.282608695652,0.365942028986
8.25,0.391304347826,0.31884057971,0.36231884058
8.5,0.405797101449,0.347826086957,0.329710144928
8.75,0.384057971014,0.336956521739,0.300724637681
9.0,0.405797101449,0.365942028986,0.329710144928
9.25,0.38768115942,0.365942028986,0.326086956522
9.5,0.365942028986,0.358695652174,0.329710144928
9.75,0.394927536232,0.38768115942,0.29347826087
10.0,0.409420289855,0.409420289855,0.271739130435
